pos	word	meaning
名詞	drinking fountain	水飲み場[器]
名詞	driver	（車を）運転する人、運転手
名詞	driveway	（道から車庫または玄関までの）車道
名詞	drop	しずく
名詞	drugstore	ドラッグストア、薬局
名詞	drum	太鼓、ドラム
名詞	duck	カモ、アヒル
名詞	DVD	デジタルビデオディスク　〔digital video disc ［disk］の略〕
名詞	e-mail (email)	Eメール、電子メール
名詞	ear	耳
名詞	earth	地球　〔the をつけないで、Earth と大文字ではじめることもある〕
名詞	earthquake	地震
名詞	east	東
名詞	effort	努力
名詞	egg	卵、玉子
名詞	eight	8
名詞	eighteen	18
名詞	eighteenth	18番め、（月の）18日
名詞	eighth	8番め、（月の）8日
名詞	eighty	80
名詞	electricity	電気
名詞	elementary school	小学校
名詞	elephant	ゾウ
名詞	elevator	エレベーター
名詞	eleven	11
名詞	eleventh	11番め、（月の）１１日
名詞	emergency	緊急事態、非常時
名詞	end	終わり、最後、端
名詞	endangered animal	絶滅の危機にひんしている動物
名詞	ending	終わり、結末、エンディング
名詞	energy	エネルギー
名詞	engineer	技師、エンジニア
名詞	engineering	工学
名詞	England	イングランド
名詞	English	英語
名詞	entertainment	娯楽
名詞	entrance	入り口、玄関
名詞	environment	環境
名詞	era	時代　〔Nara era で〕奈良時代
名詞	eraser	消しゴム
名詞	Europe	ヨーロッパ
名詞	evacuation	避難
名詞	evening	夕方、晩、夜 《通例、日没から寝る時間までを言う》
名詞	event	行事、出来事、イベント
名詞	exam	試験
名詞	example	例、実例　〔for example の形で〕たとえば
名詞	exhibition	展覧会
名詞	experience	経験
名詞	expert	専門家、エキスパート
名詞	express	急行列車、速達便
名詞	expression	表現、言い回し、（顔などの）表情
名詞	eye	目、視力、視線
名詞	eyesight	視力
名詞	face	顔、表情
名詞	facility	設備、施設
名詞	fact	事実
名詞	fall	1. 秋 / 2. 滝 / 3. 落下
名詞	family	家族、一家、家族の者たち
名詞	fan	1. (スポーツなどの) ファン / 2. 扇、扇子、うちわ
名詞	farewell	別れ
名詞	farm	農場、農園
名詞	farmer	農家、農業をする人、農業主、農業経営者
名詞	farming	農業、農場経営
名詞	fashion	流行、はやり、ファッション、流行の服装
名詞	fate	運命
名詞	father	父、お父さん
名詞	favor	親切な行為　〔ask … a favor で〕　…にお願いする
名詞	favorite	お気に入りのもの［人］
名詞	February	2月
名詞	fee	料金、入場料
名詞	feeling	感情、考え、感覚
名詞	feet	〔foot の複数形〕
名詞	fence	垣根
名詞	Ferris wheel	観覧車
名詞	festival	お祭り、祭典　　〔たとえば the Aomori Nebuta Festival の形で〕 青森ねぶた祭り
名詞	fever	熱
名詞	fiction	小説、フィクション
名詞	field	運動場、フィールド、野原、畑、田、牧草地
名詞	fifteen	15
名詞	fifteenth	15番め、（月の）15日
名詞	fifth	5番め、（月の）5日
名詞	fifty	50
名詞	fight	戦い、口げんか
名詞	fighting spirit	闘志
名詞	film	映画
名詞	fine arts	芸術、(教科の) 美術
名詞	finger	(手の) 指
名詞	Finland	フィンランド
名詞	fire	火
名詞	fireplace	暖炉
名詞	firewood	まき、たきぎ
名詞	firework	花火
名詞	first	1番め、最初、（月の）ついたち
名詞	fish	魚 〔複数形も fish 〕
名詞	fitting room	試着室
名詞	five	5
名詞	five-story pagoda	五重塔
名詞	flash	ぱっと発する光、(撮影用の)フラッシュ
名詞	flight	フライト、飛行機旅行
名詞	float	山車
名詞	floor	1. 床（ゆか） / 2. ～階
名詞	flower	花、草花
名詞	flute	フルート
名詞	food	食べ物、食糧
名詞	foot	足 《足首から下の部分》
名詞	football	フットボール(用のボール)、サッカー(用のボール)、アメリカンフットボール(用のボール)
名詞	forest	森、森林
名詞	fork	フォーク
名詞	forty	40
名詞	fossil fuel	化石燃料
名詞	four	4
名詞	fourteen	14
名詞	fourth	4番め、（月の）4日
名詞	fox	キツネ
名詞	France	フランス
名詞	freedom	自由
名詞	French	フランス語
名詞	French fries	（細長い）フライドポテト
名詞	Friday	金曜日
名詞	fridge	冷蔵庫
名詞	friend	友達、友人
名詞	friendship	友情、友愛、親交
名詞	front	前面、前部、前　　〔in front of ～の形で〕～の前に
名詞	fruit	果物、フルーツ
名詞	fuel	燃料
名詞	fun	楽しいこと、面白いこと、楽しさ
名詞	furniture	家具
名詞	futon	フトン、ソファーベッド
名詞	future	未来、将来
名詞	game	1. （一定のルールを持った）ゲーム、遊び / 2. 試合、競技
名詞	garbage	生ごみ、くず
名詞	garden	1. 庭、庭園 / 2. 畑､野菜園
名詞	gas	1. 気体 / 2. (燃料用の)ガス / 3. ガソリン　〔gas stationの形で〕　ガソリンスタンド
名詞	gate	門、出入口
名詞	geese	〔gooseの複数形〕
名詞	generation	世代、同世代の人々
名詞	gentleman	紳士　〔複数形は gentlemen〕
名詞	gentlemen	〔gentlemanの複数形〕
名詞	ger	ゲル（モンゴルの伝統的な移動式住居）
名詞	German	1. ドイツ語 / 2. ドイツ人
名詞	Germany	ドイツ
名詞	gesture	身ぶり、ジェスチャー
名詞	Ghana	ガーナ
名詞	gift	贈り物
名詞	girl	女の子、少女
名詞	glacier	氷河
名詞	global warming	地球温暖化
名詞	glove	手袋
名詞	goal	1. ゴール、決勝点 / 2. 目標、目的地
名詞	goalball	ゴールボール《３人ずつの２チームで音の出るボールを用いて行う球技》
名詞	God	神
名詞	gold	金
名詞	goodness	善良さ、親切
名詞	goods	商品、品物
名詞	goose	ガン〔動物名〕
名詞	government	政府
名詞	grade	1. 学年 / 2. 評定､点数
名詞	granddaughter	孫娘、女の孫
名詞	grandfather	おじいさん，祖父
名詞	grandmother	おばあさん、祖母
名詞	grandson	孫息子
名詞	grape	ブドウ
名詞	grass	1.　草 / 2.　草地、芝生
名詞	gray	灰色、ねずみ色
名詞	Greece	ギリシャ
名詞	green	緑（色）
名詞	greenhouse gas	温室効果ガス
名詞	greeting	挨拶
名詞	ground	地面、大地
名詞	group	グループ、団体
名詞	guide	（旅行などの）人、ガイド
名詞	guitar	ギター
名詞	gun	銃
名詞	gym	体育館、ジム
名詞	habit	習慣、くせ
名詞	habitat	生息地
名詞	hair	毛、髪の毛
名詞	half	半分
名詞	hall	会館、役所　〔city hallの形で〕市役所
名詞	hallway	（ビルなどの）廊下、通路
名詞	ham	ハム
名詞	hamburger	ハンバーガー
名詞	hand	手
名詞	handle	取っ手、柄
名詞	handout	配付印刷物、ビラ、プリント
名詞	happiness	幸福
名詞	hardship	苦難
名詞	harvest	収穫
名詞	hatred	憎しみ
名詞	haunted house	お化け屋敷
名詞	Hawaii	ハワイ（太平洋にある米国の州、州都はホノルル）
名詞	hawk	タカ
名詞	hay fever	花粉症
名詞	head	頭、頭部
名詞	headache	頭痛
名詞	health	健康
名詞	heart	心
名詞	heat	熱
名詞	heater	暖房器具
名詞	help	助け､援助
名詞	here	ここ、この場所
名詞	heritage	（祖先から伝わる精神的・文化的）遺産
名詞	hero	ヒーロー、英雄
名詞	high school	高等学校
名詞	highlight	ハイライト、見せ場
名詞	hill	丘、小山
名詞	history	歴史
名詞	hit	ヒット（曲）
名詞	hobby	趣味
名詞	hole	穴
名詞	holiday	休日、祝日
名詞	home	1. 家、家庭 / 2. 故郷 / 3. 〔at home の形で〕家に、在宅して、くつろいで / 4. （野球の）本塁
名詞	homeland	本国、母国
名詞	homestay	ホームステイ
名詞	hometown	故郷
名詞	homework	宿題
名詞	honesty	正直（であること）、誠実さ
名詞	hope	希望、望
名詞	horizon	（人の）視野
名詞	horse	ウマ
名詞	hospital	病院、総合病院
名詞	host	（客を接待する）主人（役）
名詞	hot dog	ホットドッグ
名詞	hot spring	温泉
名詞	hotel	ホテル
名詞	hour	１時間
名詞	house	家、住宅
名詞	hula	フラ（ダンス）〈ハワイの民族舞踊〉
名詞	human	人、人間
名詞	humor	ユーモア
名詞	hundred	100
名詞	hunter	ハンター、猟師
名詞	hunting	さがし求めること
名詞	husband	夫
名詞	hymn	賛美歌
名詞	ice	氷
名詞	idea	考え、思いつき、アイディア
名詞	image	像、イメージ画像、絵
名詞	importance	重要性、重大さ、大切さ
名詞	India	インド
名詞	industrial arts and homemaking	（教科の）技術・家庭科
名詞	industry	工業
名詞	information	情報
名詞	injury	けが、不調
名詞	ink	インク
名詞	insect	昆虫
名詞	insult	屈辱
名詞	interest	興味、関心
名詞	Internet	インターネット
名詞	interpreter	通訳者
名詞	interview	インタビュー、会見、面接
名詞	interviewer	インタビューする人、インタビュワー、面接官
名詞	island	島
名詞	jacket	ジャケット、上着
名詞	January	１月
名詞	Japan	日本
名詞	Japanese	日本、日本人、日本語、（教科の日本語にとっての）国語
名詞	Japanese-Brazilian	日系ブラジル人
名詞	job	仕事、職務
名詞	joke	冗談、しゃれ
名詞	Jones	ジョーンズ(姓）
名詞	journalist	記者、ジャーナリスト
名詞	joy	喜び
名詞	Judy	ジュディ〔女性名〕
名詞	juice	ジュース
名詞	July	７月
名詞	June	６月
名詞	jungle	〔ふつうthe～で〕(熱帯地方の)密林、ジャングル
名詞	junior high school	中学校
名詞	justice	正義、正しさ、公平
名詞	kangaroo	カンガルー
名詞	karaoke	カラオケ
名詞	Kenya	ケニヤ(アフリカ東部にある共和国）
名詞	key	かぎ
名詞	keyhole	鍵穴
名詞	kid	子ども
名詞	kilogram	キログラム
名詞	kilometer	キロメートル
名詞	kind	種類　　〔a kind of ～の形で〕　一種の～、～のようなもの
名詞	king	王、国王
名詞	kitchen	台所、キッチン
名詞	kite	(空にあげる)凧
名詞	koala	コアラ
名詞	Korea	韓国・朝鮮　　〔たとえば South Korea, North Korea の形で〕 韓国、北朝鮮
名詞	Korean	韓国・朝鮮語、韓国人・朝鮮人
名詞	lady	婦人
名詞	lake	湖 〔たとえば Lake Towada の形で〕 十和田湖
名詞	lamp	ランプ、明かり
名詞	land	土地、陸地
名詞	landing card	入国カード
名詞	landmine	地雷
名詞	language	ことば、言語
名詞	language arts	言語技術(米国の多くの小・中学校で仮名部科目の一つ）
名詞	lap	ひざ（の上）
名詞	last	最後
名詞	laughter	笑い
名詞	law	法律
名詞	lawyer	弁護士、法律家
名詞	leader	指導者、リーダー
名詞	left	左、左側
名詞	leg	あし 《ももの付け根から下全部あるいは足首までの部分》
名詞	lemon	レモン
名詞	leopard	ヒョウ
名詞	lesson	1. (教科書などの)課、授業、勉強、けいこ、レッスン / 2. 教訓
名詞	letter	手紙、文字、字
名詞	level	水平（面）、水位、高さ
名詞	library	図書館，図書室
名詞	life	1. 生命、いのち（複 lives） / 2. 終生、一生 / 3. 人生 / 4. 生活、暮らし
名詞	light	1. 光、光線 / 2. 明かり、電灯
名詞	line	1. 線、電話線 / 2. （文字の）行　 / 3. (バス・列車・飛行機などの)路線 / 4. (役者の)せりふ、(文章などの)行
名詞	lion	ライオン
名詞	lives	lifeの複数形
名詞	living room	居間、リビングルーム
名詞	locker	ロッカー
名詞	London	ロンドン
名詞	look	見ること、一見　　〔 have ［take］ a look at ～の形で〕～を見る
名詞	lot	1. 〔a lot of ～ の形で〕 たくさんの、多数の / 2. たくさん、多数、多量 〔a lot〕
名詞	love	1. 愛、恋愛 / 2. 《手紙などの結びのことば》 〔たとえば Love, Lisa の形で〕 リサより
名詞	luck	運
名詞	lucky break	成功のきっかけ
名詞	lullaby	子守歌
名詞	lunch	昼食、(お昼の）弁当
名詞	machine	機械
名詞	magazine	雑誌
名詞	magic	手品
名詞	maker	製作者
名詞	man	男の人、(一般的に)人
名詞	manga	（日本の）マンガ
名詞	manner	（mannersで）行儀、マナー
名詞	map	地図
名詞	March	３月
名詞	market	市場
名詞	marsh	沼
名詞	mask	(顔を保護する）防具、マスク
名詞	master	主人、住職、和尚(ときに固有名詞のように使い、大文字で書き始めてMasterで「和尚さま」
名詞	match	試合、勝負
名詞	math	数学 〔mathematicsを短くした形〕
名詞	matter	問題、困ったこと、事情
名詞	May	５月
名詞	mayor	村長
名詞	meal	食事
名詞	meaning	意味
名詞	meat	食用肉、肉
名詞	meat loaf	ミートローフ
名詞	medal	メダル
名詞	medicine	薬　〔take medicineの形で〕 薬を飲む
名詞	meeting	集会、会議
名詞	member	一員、メンバー
名詞	memorial	記念日、記念碑、記念館
名詞	memory	記憶、記憶力、思い出
名詞	men	〔manの複数形〕
名詞	menu	献立表、メニュー
名詞	message	伝言，メッセージ
名詞	meter	メートル
名詞	mid-1900s	1900年代半ば
名詞	middle	真ん中、中間
名詞	milk	牛乳、ミルク
名詞	million	百万
名詞	mind	心　[keep A in mindの形で］Aを心に留めておく / 　　 [make up my mindの形で］決心する
名詞	minister	牧師
名詞	minute	1. (時間の)分 / 2. ちょっとの間　 〔Just a minute. の形で〕ちょっと待ってください
名詞	mirror	鏡
名詞	mistake	まちがい　［by mistakeの形で］誤って、間違って
名詞	mom	ママ、お母さん 《家庭内で子どもが母親を呼ぶのに使う。呼びかけの時にはしばしば大文字で始めて Mom とする。》
名詞	moment	ちょっとの時間、瞬間
名詞	mommy	お母ちゃん
名詞	Monday	月曜日
名詞	money	お金
名詞	Mongolia	モンゴル(中国の北方に位置する国）
名詞	monkey	サル
名詞	month	(暦の)月
名詞	moon	月
名詞	morning	朝、午前
名詞	mother	母、お母さん
名詞	motto	標語、モットー
名詞	mountain	山
名詞	mouth	口
名詞	movement	動き、(社会的)運動
名詞	movie	映画
名詞	Mr. (Mr.)	《男性の姓・姓名の前につけて》 ～さん、先生
名詞	Mrs. (Mrs.)	《結婚している女性の姓・姓名の前につけて》 ～さん、先生
名詞	Ms. (Ms.)	《女性の姓・姓名の前につけて》 ～さん、先生
名詞	Mt.	〔mountain （山）の略〕 ～山　 〔例えば Mt. Iwaki の形で〕 岩木山
名詞	much	多量、たくさん
名詞	museum	博物館、美術館
名詞	music	音楽
名詞	music club	(学校の）音楽部
名詞	musician	音楽家、ミュージシャン
名詞	Myanmar	ミャンマー
名詞	mystery	謎
名詞	name	名前
名詞	nation	国家
名詞	national holiday	国民の休日
名詞	national park	国立公園
名詞	natural gas	天然ガス
名詞	nature	自然、自然界
名詞	neck	首
名詞	need	必要　〔in needの形で〕必要で、困って
名詞	neighbor	隣人
名詞	nest	巣
名詞	New Year's Day	元日
名詞	New Year's Eve	大晦日
名詞	New York	ニューヨーク
名詞	New York City	ニューヨーク市
名詞	news	ニュース、知らせ
名詞	newspaper	新聞、新聞紙
名詞	night	夜
名詞	nine	９
名詞	nineteen	19
名詞	nineteenth	19番目の、１９日
名詞	ninety	90
名詞	ninth	9番め、（月の）9日
名詞	No.	…番、第…号
名詞	Nobel Peace Prize	ノーベル平和賞
名詞	non-white	白人以外の人
名詞	noodle	麺、ヌードル
名詞	noon	正午
名詞	north	北、北方、北部
名詞	North Carolina	ノース・カロライナ(アメリカ合衆国の州名）
名詞	nose	鼻
名詞	note	メモ、覚え書き
名詞	notebook	ノート
名詞	November	11月
名詞	now	今
名詞	number	～番、番号、数、数字
名詞	nun	尼僧
名詞	nurse	看護師、保健の先生
名詞	nurse's office	保健室
名詞	nursery	託児所
名詞	nursing	看護、介護
名詞	nursing home	高齢者福祉施設、療養所
名詞	ocean	大洋、海
名詞	October	10月
名詞	octopus	タコ
名詞	office	事務所､役所
名詞	officer	係員、役人、警察官
名詞	official	係官、職員
名詞	oil	油、石油
名詞	Olympics	(theをつけて）オリンピック
名詞	one	１つ､１人
名詞	opinion	意見、考え、判断
名詞	orange	オレンジ（色）
名詞	orchestra	オーケストラ
名詞	order	1. 命令 / 2. 注文 / 3. 順序
名詞	origin	（～の)起源、由来
名詞	outlook	見方、考え方
名詞	owl	フクロウ
名詞	oxygen	酸素
名詞	P.E. (PE)	体育 　〔physical educationの略〕
名詞	pack	1パック、１箱
名詞	page	ページ
名詞	pain	1. 痛み / 2. 苦心
名詞	painter	画家
名詞	painting	絵、絵画
名詞	pair	１組、対
名詞	palace	御殿
名詞	palm	手のひら
名詞	pamphlet	パンフレット
名詞	panda	パンダ
名詞	panel	パネル
名詞	paper	紙、折り紙、レポート、論文
名詞	paper crane	折り鶴
名詞	Paralympics	(theをつけて）パラリンピック
名詞	pardon	許し、許すこと　〔I beg your pardon.（最後を上げて発音して）/Beg your pardon?/Pardon?の形で〕 すみませんが、もう一度言ってください。
名詞	parent	親
名詞	Paris	パリ
名詞	park	公園、遊園地
名詞	part	1.一部 / 2.役割、役目
名詞	particular	項目、細部
名詞	partner	仲間、パートナー
名詞	party	パーティー
名詞	passion	熱中（しているもの）、情熱
名詞	passport	パスポート
名詞	past	過去
名詞	pastry shop	洋菓子店
名詞	patient	患者、病人
名詞	peace	平和
名詞	peach	（果物の）モモ
名詞	pen	ペン
名詞	pencil	えんぴつ
名詞	people	1. 《複数扱いで、２人以上を表して》 人、人々、人間 / 2.国民
名詞	percent	パーセント
名詞	performance	上演、演奏、演技
名詞	performer	上演者、噺家、芸人
名詞	period	時代
名詞	person	人 〔２人以上を表すときは people がふつう〕
名詞	Peru	ペルー（南米の国の名前）
名詞	pet	ペット
名詞	pharmacist	薬剤師、薬局
名詞	Philippines	(the ～で）フィリピン共和国
名詞	phone	電話　　〔 telephone の略〕
名詞	phone call	電話をかけること
名詞	photo	写真　 〔photograph の略〕
名詞	photograph	写真
名詞	photographer	写真家、カメラマン
名詞	phrase	句、言い回し、フレーズ
名詞	piano	ピアノ
名詞	picnic	ピクニック、行楽
名詞	picture	絵、写真
名詞	pie	パイ（肉や果物などを練り粉で包んで焼いた菓子、料理）
名詞	piece	〔a piece of ～の形で〕１つの～、ひとかけらの～
名詞	pilot	パイロット
名詞	pink	ピンク色（の）、もも色（の）
名詞	pizza	ピザ
名詞	place	1.場所､所 / 2.順位
名詞	plan	1. 事業 / 2. 計画、案、考え、予定
名詞	plane	飛行機
名詞	plant	植物
名詞	plastic	プラスチック
名詞	plastic bag	ビニール袋
名詞	plate	取り皿
名詞	play	劇
