ID	単語	品詞	意味	コロケーション	和文	英文	英文穴埋め	タグ
w0008-2	address	名詞	あて名、住所	email address	メールアドレスを教えてもらえますか？	Can you give me your <strong>email address</strong>?	"Can you give me your <span class=""blank"">_____ _____</span>?"	品詞:名詞|単語:address
w0008-3	address	名詞	あて名、住所	home address	彼の自宅の住所を忘れてしまいました。	I forgot his <strong>home address</strong>.	"I forgot his <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:address
w0009-1	adult	名詞	大人、成人	Children and adults	子どもも大人も一緒にこのイベントを楽しめます。	<strong>Children and adults</strong> can enjoy this event together.	"<span class=""blank"">_____ _____ _____</span> can enjoy this event together."	品詞:名詞|単語:adult
w0009-2	adult	名詞	大人、成人	became an adult	彼は成人して一人暮らしを始めました。	He <strong>became an adult</strong> and started living alone.	"He <span class=""blank"">_____ _____ _____</span> and started living alone."	品詞:名詞|単語:adult
w0009-3	adult	名詞	大人、成人	for adults only	この映画は大人向けです。	This film is <strong>for adults only</strong>.	"This film is <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:adult
w0010-1	advantage	名詞	有利な立場、利点	take advantage of	このチャンスを活かすべきです。	You should <strong>take advantage of</strong> this chance.	"You should <span class=""blank"">_____ _____ _____</span> this chance."	品詞:名詞|単語:advantage
w0010-2	advantage	名詞	有利な立場、利点	advantage of living	ここに住む利点の一つはきれいな空気です。	One <strong>advantage of living</strong> here is the clean air.	"One <span class=""blank"">_____ _____ _____</span> here is the clean air."	品詞:名詞|単語:advantage
w0010-3	advantage	名詞	有利な立場、利点	an advantage in	バスケットボールでは背が高いことが有利です。	Being tall is <strong>an advantage in</strong> basketball.	"Being tall is <span class=""blank"">_____ _____ _____</span> basketball."	品詞:名詞|単語:advantage
w0011-1	adventure	名詞	冒険	had a great adventure	子どもたちは森で大冒険をしました。	The children <strong>had a great adventure</strong> in the forest.	"The children <span class=""blank"">_____ _____ _____ _____</span> in the forest."	品詞:名詞|単語:adventure
w0011-2	adventure	名詞	冒険	going on adventures	彼は友だちと冒険に出かけるのが大好きです。	He loves <strong>going on adventures</strong> with his friends.	"He loves <span class=""blank"">_____ _____ _____</span> with his friends."	品詞:名詞|単語:adventure
w0011-3	adventure	名詞	冒険	like an adventure	読書は心の冒険のようなものです。	Reading books is <strong>like an adventure</strong> for the mind.	"Reading books is <span class=""blank"">_____ _____ _____</span> for the mind."	品詞:名詞|単語:adventure
w0012-1	advertisement	名詞	広告、宣伝	advertisement for	テレビで新しいスマートフォンの広告を見ました。	I saw an <strong>advertisement for</strong> a new smartphone on TV.	"I saw an <span class=""blank"">_____ _____</span> a new smartphone on TV."	品詞:名詞|単語:advertisement
w0012-2	advertisement	名詞	広告、宣伝	put an advertisement	その会社は新聞に広告を出しました。	The company <strong>put an advertisement</strong> in the newspaper.	"The company <span class=""blank"">_____ _____ _____</span> in the newspaper."	品詞:名詞|単語:advertisement
w0012-3	advertisement	名詞	広告、宣伝	Online advertisements	オンライン広告は多くのウェブサイトに表示されます。	<strong>Online advertisements</strong> appear on many websites.	"<span class=""blank"">_____ _____</span> appear on many websites."	品詞:名詞|単語:advertisement
w0013-1	advice	名詞	忠告、助言、アドバイス	gave me some advice	彼女は勉強について役に立つアドバイスをしてくれました。	She gave me some useful <strong>advice</strong> about studying.	"She gave me some useful <span class=""blank"">_____</span> about studying."	品詞:名詞|単語:advice
w0013-2	advice	名詞	忠告、助言、アドバイス	ask for your advice	この問題についてアドバイスをもらえますか？	Can I <strong>ask for your advice</strong> on this problem?	"Can I <span class=""blank"">_____ _____ _____ _____</span> on this problem?"	品詞:名詞|単語:advice
w0013-3	advice	名詞	忠告、助言、アドバイス	followed his teacher's advice	彼は先生のアドバイスに従って、一生懸命勉強しました。	He <strong>followed his teacher&#x27;s advice</strong> and studied hard.	"He <span class=""blank"">_____ _____ _____ _____</span> and studied hard."	品詞:名詞|単語:advice
w0014-1	Africa	名詞	アフリカ、アフリカ大陸	live in Africa	アフリカには多くの野生動物が生息しています。	Many wild animals <strong>live in Africa</strong>.	"Many wild animals <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:Africa
w0014-2	Africa	名詞	アフリカ、アフリカ大陸	traveled across Africa	彼女は去年の夏、アフリカを旅しました。	She <strong>traveled across Africa</strong> last summer.	"She <span class=""blank"">_____ _____ _____</span> last summer."	品詞:名詞|単語:Africa
w0014-3	Africa	名詞	アフリカ、アフリカ大陸	river in Africa	ナイル川はアフリカで最も長い川です。	The Nile is the longest <strong>river in Africa</strong>.	"The Nile is the longest <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:Africa
w0015-1	afternoon	名詞	午後	every afternoon	私たちは毎日放課後の午後にサッカーの練習をします。	We practice soccer <strong>every afternoon</strong> after school.	"We practice soccer <span class=""blank"">_____ _____</span> after school."	品詞:名詞|単語:afternoon
w0015-2	afternoon	名詞	午後	Good afternoon	こんにちは！今日はお元気ですか？	<strong>Good afternoon</strong>! How are you today?	"<span class=""blank"">_____ _____</span>! How are you today?"	品詞:名詞|単語:afternoon
w0015-3	afternoon	名詞	午後	in the afternoon	会議は午後に始まります。	The meeting will start <strong>in the afternoon</strong>.	"The meeting will start <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:afternoon
w0016-1	age	名詞	年齢、歳	of all ages	あらゆる年齢の子どもたちがこのゲームを楽しんでいます。	Children <strong>of all ages</strong> enjoy this game.	"Children <span class=""blank"">_____ _____ _____</span> enjoy this game."	品詞:名詞|単語:age
w0016-2	age	名詞	年齢、歳	at the age of	彼は5歳のときにピアノを始めました。	He started playing the piano <strong>at the age of</strong> five.	"He started playing the piano <span class=""blank"">_____ _____ _____ _____</span> five."	品詞:名詞|単語:age
w0016-3	age	名詞	年齢、歳	of the same age	同じ年齢の人はよい友だちになることが多いです。	People <strong>of the same age</strong> often become good friends.	"People <span class=""blank"">_____ _____ _____ _____</span> often become good friends."	品詞:名詞|単語:age
w0017-1	air	名詞	空中、空気	mountain air	山の空気は澄んでいてさわやかです。	The <strong>mountain air</strong> is clean and fresh.	"The <span class=""blank"">_____ _____</span> is clean and fresh."	品詞:名詞|単語:air
w0017-2	air	名詞	空中、空気	into the air	ボールが空中に飛び上がりました。	The ball flew up <strong>into the air</strong>.	"The ball flew up <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:air
w0017-3	air	名詞	空中、空気	fresh air	新鮮な空気を入れるために窓を開けてください。	Please open the window to let in some <strong>fresh air</strong>.	"Please open the window to let in some <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:air
w0018-1	air pollution	名詞	大気汚染	Air pollution is a serious problem	大気汚染は大都市での深刻な問題です。	Air <strong>pollution</strong> is a serious problem in big cities.	"Air <span class=""blank"">_____</span> is a serious problem in big cities."	品詞:名詞|単語:air pollution
w0018-2	air pollution	名詞	大気汚染	reduce air pollution	健康を守るために大気汚染を減らさなければなりません。	We must <strong>reduce air pollution</strong> to protect our health.	"We must <span class=""blank"">_____ _____ _____</span> to protect our health."	品詞:名詞|単語:air pollution
w0018-3	air pollution	名詞	大気汚染	cause air pollution	車や工場は多くの大気汚染を引き起こします。	Cars and factories cause a lot of air <strong>pollution</strong>.	"Cars and factories cause a lot of air <span class=""blank"">_____</span>."	品詞:名詞|単語:air pollution
w0019-1	airport	名詞	空港	went to the airport	家族は彼女を見送りに空港へ行きました。	My family <strong>went to the airport</strong> to see her off.	"My family <span class=""blank"">_____ _____ _____ _____</span> to see her off."	品詞:名詞|単語:airport
w0019-2	airport	名詞	空港	The airport was crowded	元日、空港はとても混雑していました。	The <strong>airport</strong> was very crowded on New Year&#x27;s Day.	"The <span class=""blank"">_____</span> was very crowded on New Year&#x27;s Day."	品詞:名詞|単語:airport
w0019-3	airport	名詞	空港	arrived at the airport	フライトの2時間前に空港に到着しました。	We <strong>arrived at the airport</strong> two hours before the flight.	"We <span class=""blank"">_____ _____ _____ _____</span> two hours before the flight."	品詞:名詞|単語:airport
w0020-1	album	名詞	(写真、ＣＤ、レコードなどの) アルバム	photo album	彼女はおばあちゃんと一緒にフォトアルバムを見ました。	She looked through a <strong>photo album</strong> with her grandmother.	"She looked through a <span class=""blank"">_____ _____</span> with her grandmother."	品詞:名詞|単語:album
w0020-2	album	名詞	(写真、ＣＤ、レコードなどの) アルバム	released a new album	そのバンドは先月、新しいアルバムをリリースしました。	The band <strong>released a new album</strong> last month.	"The band <span class=""blank"">_____ _____ _____ _____</span> last month."	品詞:名詞|単語:album
w0020-3	album	名詞	(写真、ＣＤ、レコードなどの) アルバム	first album	私のお気に入りの曲は彼のファーストアルバムに入っています。	My favorite song is on his <strong>first album</strong>.	"My favorite song is on his <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:album
w0021-1	ambulance	名詞	救急車	call an ambulance	すぐに救急車を呼んでください。	Please <strong>call an ambulance</strong> right away.	"Please <span class=""blank"">_____ _____ _____</span> right away."	品詞:名詞|単語:ambulance
w0021-2	ambulance	名詞	救急車	ambulance arrived	救急車は5分で到着した。	The <strong>ambulance arrived</strong> in five minutes.	"The <span class=""blank"">_____ _____</span> in five minutes."	品詞:名詞|単語:ambulance
w0021-3	ambulance	名詞	救急車	by ambulance	彼は救急車で病院へ運ばれた。	He was taken to the hospital <strong>by ambulance</strong>.	"He was taken to the hospital <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:ambulance
w0022-1	America	名詞	アメリカ合衆国 〔正式名称はthe United States of America〕	in America	彼女は2年間アメリカで学んだ。	She studied <strong>in America</strong> for two years.	"She studied <span class=""blank"">_____ _____</span> for two years."	品詞:名詞|単語:America
w0022-2	America	名詞	アメリカ合衆国 〔正式名称はthe United States of America〕	go to America	いつかアメリカへ行ってみたい。	I want to <strong>go to America</strong> someday.	"I want to <span class=""blank"">_____ _____ _____</span> someday."	品詞:名詞|単語:America
w0022-3	America	名詞	アメリカ合衆国 〔正式名称はthe United States of America〕	from America	この音楽はアメリカ生まれだ。	This music came <strong>from America</strong>.	"This music came <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:America
w0023-1	American	名詞	アメリカ人、米国人	American culture	アメリカ文化にとても興味がある。	I am very interested in <strong>American culture</strong>.	"I am very interested in <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:American
w0023-2	American	名詞	アメリカ人、米国人	American food	アメリカ料理を食べたことはある？	Have you ever tried <strong>American food</strong>?	"Have you ever tried <span class=""blank"">_____ _____</span>?"	品詞:名詞|単語:American
w0023-3	American	名詞	アメリカ人、米国人	an American	新しい先生はアメリカ人だ。	My new teacher is <strong>an American</strong>.	"My new teacher is <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:American
w0024-1	amusement park	名詞	遊園地	go to an amusement park	私たちは毎年夏に遊園地へ行く。	We go to an amusement <strong>park</strong> every summer.	"We go to an amusement <span class=""blank"">_____</span> every summer."	品詞:名詞|単語:amusement park
w0024-2	amusement park	名詞	遊園地	at the amusement park	遊園地でとても楽しい時間を過ごした。	I had a great time <strong>at the amusement park</strong>.	"I had a great time <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:amusement park
w0024-3	amusement park	名詞	遊園地	a large amusement park	私たちの町の近くに大きな遊園地がある。	There is <strong>a large amusement park</strong> near our town.	"There is <span class=""blank"">_____ _____ _____ _____</span> near our town."	品詞:名詞|単語:amusement park
w0025-1	ancestor	名詞	祖先、先祖	my ancestors	私の先祖は京都の出身だ。	<strong>My ancestors</strong> came from Kyoto.	"<span class=""blank"">_____ _____</span> came from Kyoto."	品詞:名詞|単語:ancestor
w0025-2	ancestor	名詞	祖先、先祖	learn about your ancestors	先祖について知ることは大切だ。	It is important to <strong>learn about your ancestors</strong>.	"It is important to <span class=""blank"">_____ _____ _____ _____</span>."	品詞:名詞|単語:ancestor
w0025-3	ancestor	名詞	祖先、先祖	respect your ancestors	日本では人々は先祖を敬う。	In Japan, people respect their <strong>ancestors</strong>.	"In Japan, people respect their <span class=""blank"">_____</span>."	品詞:名詞|単語:ancestor
w0026-1	animal	名詞	《植物に対して》 動物	wild animals	野生動物を守らなければならない。	We should protect <strong>wild animals</strong>.	"We should protect <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:animal
w0026-2	animal	名詞	《植物に対して》 動物	keep an animal	家で何か動物を飼っていますか？	Do you keep any <strong>animals</strong> at home?	"Do you keep any <span class=""blank"">_____</span> at home?"	品詞:名詞|単語:animal
w0026-3	animal	名詞	《植物に対して》 動物	animal shelter	彼女は週末に動物シェルターでボランティアをしている。	She volunteers at an <strong>animal shelter</strong> on weekends.	"She volunteers at an <span class=""blank"">_____ _____</span> on weekends."	品詞:名詞|単語:animal
w0027-1	animation	名詞	動画、アニメーション	Japanese animation	日本のアニメーションは世界中で人気がある。	<strong>Japanese animation</strong> is popular all over the world.	"<span class=""blank"">_____ _____</span> is popular all over the world."	品詞:名詞|単語:animation
w0027-2	animation	名詞	動画、アニメーション	animation film	私たちは映画館でアニメ映画を見た。	We watched an <strong>animation film</strong> at the cinema.	"We watched an <span class=""blank"">_____ _____</span> at the cinema."	品詞:名詞|単語:animation
w0027-3	animation	名詞	動画、アニメーション	make animation	彼は将来アニメーションを作りたいと思っている。	He wants to <strong>make animation</strong> in the future.	"He wants to <span class=""blank"">_____ _____</span> in the future."	品詞:名詞|単語:animation
w0028-1	anime	名詞	（日本の）アニメ	watch anime	私は毎晩寝る前にアニメを見る。	I <strong>watch anime</strong> every night before bed.	"I <span class=""blank"">_____ _____</span> every night before bed."	品詞:名詞|単語:anime
w0028-2	anime	名詞	（日本の）アニメ	anime character	彼女のお気に入りのアニメキャラクターはとても勇敢だ。	Her favorite <strong>anime character</strong> is very brave.	"Her favorite <span class=""blank"">_____ _____</span> is very brave."	品詞:名詞|単語:anime
w0028-3	anime	名詞	（日本の）アニメ	anime fan	彼は大のアニメファンだ。	He is a big <strong>anime fan</strong>.	"He is a big <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:anime
w0029-1	answer	名詞	答え、応答、返事	the right answer	正解できた？	Did you get <strong>the right answer</strong>?	"Did you get <span class=""blank"">_____ _____ _____</span>?"	品詞:名詞|単語:answer
w0029-2	answer	名詞	答え、応答、返事	know the answer	答えがわかる人は手を挙げてください。	Raise your hand if you <strong>know the answer</strong>.	"Raise your hand if you <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:answer
w0029-3	answer	名詞	答え、応答、返事	give an answer	完全な文で答えてください。	Please <strong>give an answer</strong> in a full sentence.	"Please <span class=""blank"">_____ _____ _____</span> in a full sentence."	品詞:名詞|単語:answer
w0030-1	apartment	名詞	アパート	live in an apartment	私の家族は東京のアパートに住んでいる。	My family <strong>lives in an apartment</strong> in Tokyo.	"My family <span class=""blank"">_____ _____ _____ _____</span> in Tokyo."	品詞:名詞|単語:apartment
w0030-2	apartment	名詞	アパート	rent an apartment	彼は学校の近くのアパートを借りた。	He <strong>rented an apartment</strong> near his school.	"He <span class=""blank"">_____ _____ _____</span> near his school."	品詞:名詞|単語:apartment
w0030-3	apartment	名詞	アパート	apartment building	駅のそばに高いアパートがある。	There is a tall <strong>apartment building</strong> by the station.	"There is a tall <span class=""blank"">_____ _____</span> by the station."	品詞:名詞|単語:apartment
w0031-1	apple	名詞	リンゴ	apple juice	私は毎朝アップルジュースを飲む。	I drink <strong>apple juice</strong> every morning.	"I drink <span class=""blank"">_____ _____</span> every morning."	品詞:名詞|単語:apple
w0031-2	apple	名詞	リンゴ	eat an apple	1日1個のリンゴは医者いらず。	An <strong>apple</strong> a day keeps the doctor away.	"An <span class=""blank"">_____</span> a day keeps the doctor away."	品詞:名詞|単語:apple
w0031-3	apple	名詞	リンゴ	apple pie	祖母のアップルパイは最高においしい。	My grandmother makes the best <strong>apple pie</strong>.	"My grandmother makes the best <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:apple
w0032-1	April	名詞	4月	in April	日本では4月に学校が始まる。	School starts <strong>in April</strong> in Japan.	"School starts <span class=""blank"">_____ _____</span> in Japan."	品詞:名詞|単語:April
w0032-2	April	名詞	4月	April Fool's Day	エイプリルフールは4月1日だ。	<strong>April Fool&#x27;s Day</strong> is on the first of April.	"<span class=""blank"">_____ _____ _____</span> is on the first of April."	品詞:名詞|単語:April
w0032-3	April	名詞	4月	early April	この辺りでは4月初めに桜が咲く。	Cherry blossoms bloom in <strong>early April</strong> here.	"Cherry blossoms bloom in <span class=""blank"">_____ _____</span> here."	品詞:名詞|単語:April
w0033-1	aquarium	名詞	水族館	go to the aquarium	この日曜日に水族館へ行こう。	Let&#x27;s <strong>go to the aquarium</strong> this Sunday.	"Let&#x27;s <span class=""blank"">_____ _____ _____ _____</span> this Sunday."	品詞:名詞|単語:aquarium
w0033-2	aquarium	名詞	水族館	at the aquarium	水族館でたくさんの海の生き物を見た。	We saw many sea animals <strong>at the aquarium</strong>.	"We saw many sea animals <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:aquarium
w0033-3	aquarium	名詞	水族館	visit the aquarium	彼女は毎年水族館を訪れる。	She <strong>visits the aquarium</strong> every year.	"She <span class=""blank"">_____ _____ _____</span> every year."	品詞:名詞|単語:aquarium
w0034-1	architect	名詞	（建物の）建設者、建築家	become an architect	彼女は将来建築家になりたいと思っている。	She wants to <strong>become an architect</strong> in the future.	"She wants to <span class=""blank"">_____ _____ _____</span> in the future."	品詞:名詞|単語:architect
w0034-2	architect	名詞	（建物の）建設者、建築家	famous architect	彼は世界的に有名な建築家だ。	He is a <strong>famous architect</strong> known around the world.	"He is a <span class=""blank"">_____ _____</span> known around the world."	品詞:名詞|単語:architect
w0034-3	architect	名詞	（建物の）建設者、建築家	work as an architect	叔父は大阪で建築家として働いている。	My uncle <strong>works as an architect</strong> in Osaka.	"My uncle <span class=""blank"">_____ _____ _____ _____</span> in Osaka."	品詞:名詞|単語:architect
w0035-1	area	名詞	（大小さまざまの）場所、区域、地域、地方	in this area	この地域にはたくさんの古いお寺がある。	There are many old temples <strong>in this area</strong>.	"There are many old temples <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:area
w0035-2	area	名詞	（大小さまざまの）場所、区域、地域、地方	local area	自分の住む地域についてもっと知りたい。	I want to learn more about my <strong>local area</strong>.	"I want to learn more about my <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:area
w0035-3	area	名詞	（大小さまざまの）場所、区域、地域、地方	rural area	祖父母は田舎に住んでいる。	My grandparents live in a <strong>rural area</strong>.	"My grandparents live in a <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:area
w0036-1	arena	名詞	競技場、アリーナ	at the arena	コンサートはアリーナで開催された。	The concert was held <strong>at the arena</strong>.	"The concert was held <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:arena
w0036-2	arena	名詞	競技場、アリーナ	indoor arena	私たちは屋内アリーナでバスケの試合を観た。	We watched a basketball game in an <strong>indoor arena</strong>.	"We watched a basketball game in an <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:arena
w0036-3	arena	名詞	競技場、アリーナ	large arena	大きなアリーナは興奮したファンでいっぱいだった。	The <strong>large arena</strong> was full of excited fans.	"The <span class=""blank"">_____ _____</span> was full of excited fans."	品詞:名詞|単語:arena
w0037-1	arm	名詞	腕	break one's arm	彼はサッカーの試合中に腕を骨折した。	He <strong>broke his arm</strong> during the soccer game.	"He <span class=""blank"">_____ _____ _____</span> during the soccer game."	品詞:名詞|単語:arm
w0037-2	arm	名詞	腕	raise your arm	質問がある人は腕を挙げてください。	<strong>Raise your arm</strong> if you have a question.	"<span class=""blank"">_____ _____ _____</span> if you have a question."	品詞:名詞|単語:arm
w0037-3	arm	名詞	腕	fold one's arms	彼女は腕を組んでそこに立っていた。	She stood there with her arms <strong>folded</strong>.	"She stood there with her arms <span class=""blank"">_____</span>."	品詞:名詞|単語:arm
w0038-1	arrest	名詞	逮捕	make an arrest	警察は昨夜逮捕を行った。	The police <strong>made an arrest</strong> last night.	"The police <span class=""blank"">_____ _____ _____</span> last night."	品詞:名詞|単語:arrest
w0038-2	arrest	名詞	逮捕	under arrest	その男は逮捕された。	The man was put <strong>under arrest</strong>.	"The man was put <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:arrest
w0038-3	arrest	名詞	逮捕	arrest warrant	警察は容疑者の逮捕状を取った。	The police got an <strong>arrest warrant</strong> for the suspect.	"The police got an <span class=""blank"">_____ _____</span> for the suspect."	品詞:名詞|単語:arrest
w0039-1	art	名詞	1. 美術、芸術 / 2. 技術	art museum	修学旅行で美術館を訪れた。	We visited an <strong>art museum</strong> on our school trip.	"We visited an <span class=""blank"">_____ _____</span> on our school trip."	品詞:名詞|単語:art
w0039-2	art	名詞	1. 美術、芸術 / 2. 技術	work of art	この絵は美しい芸術作品だ。	This painting is a beautiful <strong>work of art</strong>.	"This painting is a beautiful <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:art
w0039-3	art	名詞	1. 美術、芸術 / 2. 技術	art class	金曜日の美術の授業が好きだ。	I enjoy my <strong>art class</strong> on Fridays.	"I enjoy my <span class=""blank"">_____ _____</span> on Fridays."	品詞:名詞|単語:art
w0040-1	artist	名詞	芸術家	become an artist	彼は芸術家になることを夢見ている。	He dreams of <strong>becoming an artist</strong>.	"He dreams of <span class=""blank"">_____ _____ _____</span>."	品詞:名詞|単語:artist
w0040-2	artist	名詞	芸術家	local artist	地元の芸術家がこの壁に壁画を描いた。	A <strong>local artist</strong> painted the mural on this wall.	"A <span class=""blank"">_____ _____</span> painted the mural on this wall."	品詞:名詞|単語:artist
w0040-3	artist	名詞	芸術家	famous artist	彼女は多くの人に愛されている有名な芸術家だ。	She is a <strong>famous artist</strong> loved by many people.	"She is a <span class=""blank"">_____ _____</span> loved by many people."	品詞:名詞|単語:artist
w0041-1	Asia	名詞	アジア（大陸）	in Asia	日本はアジアにある小さな国です。	Japan is a small country <strong>in Asia</strong>.	"Japan is a small country <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:Asia
w0041-2	Asia	名詞	アジア（大陸）	across Asia	この食べ物はアジア全域で人気があります。	This food is popular <strong>across Asia</strong>.	"This food is popular <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:Asia
w0041-3	Asia	名詞	アジア（大陸）	from Asia	多くの学生がアジアから来ています。	Many students come <strong>from Asia</strong>.	"Many students come <span class=""blank"">_____ _____</span>."	品詞:名詞|単語:Asia
w0042-1	astronaut	名詞	宇宙飛行士	become an astronaut	彼女はいつか宇宙飛行士になりたいと思っています。	She wants to <strong>become an astronaut</strong> someday.	"She wants to <span class=""blank"">_____ _____ _____</span> someday."	品詞:名詞|単語:astronaut
