ID	日本語文	指定動詞／表現	パーツ	正答
persuade_6	彼らは政府に、その政策が有効だと納得させることができなかった。	persuade	government / policy / effective	They could not persuade the government that the policy was effective.
warn_4	警察は市民に、その地域が危険だと警告した。	warn	police / citizens / area / dangerous	The police warned citizens that the area was dangerous.
warn_5	天気予報は、嵐が近づいていると警告した。	warn	weather forecast / storm / approaching	The weather forecast warned that a storm was approaching.
warn_6	医者は彼女に、このまま働き続ければ体を壊すと警告した。	warn	doctor / health / break down / keep working	The doctor warned her that her health would break down if she kept working.
inform_4	病院は彼女に、手術が成功したと知らせた。	inform	hospital / operation / successful	The hospital informed her that the operation was successful.
inform_5	係員は乗客に、フライトが遅延していると知らせた。	inform	staff / passengers / flight / delayed	The staff informed the passengers that the flight was delayed.
inform_6	大学は学生たちに、授業がオンラインになると通知した。	inform	university / students / classes / online	The university informed the students that the classes would be held online.
V 人 to ～				
tell_7	医者は彼にタバコをやめるよう言った。	tell	doctor / stop / smoking	The doctor told him to stop smoking.
tell_8	母は私に早く帰ってくるよう言った。	tell	mother / come home / early	My mother told me to come home early.
tell_9	警察は群衆にその場を離れるよう命じた。	tell	police / crowd / leave	The police told the crowd to leave the area.
remind_7	薬を飲み忘れないよう念を押してください。	remind	medicine	Please remind me to take my medicine.
remind_8	彼女は彼にドアに鍵をかけるよう念を押した。	remind	lock / door	She reminded him to lock the door.
remind_9	先生は生徒たちに宿題を提出するよう念を押した。	remind	teacher / students / submit / homework	The teacher reminded the students to submit their homework.
convince_7	彼女はなんとか彼に考えを変えさせた。	convince	change / mind	She managed to convince him to change his mind.
convince_8	友人が私に医者に行くよう説き伏せた。	convince	friend / see / doctor	My friend convinced me to see a doctor.
convince_9	彼らはなんとか社長に新しいシステムを導入させた。	convince	president / introduce / new system	They convinced the president to introduce a new system.
persuade_7	彼女はなんとか父を説得して、留学を許してもらった。	persuade	father / study abroad	She managed to persuade her father to let her study abroad.
persuade_8	彼は友人を説得して、その考えを諦めさせた。	persuade	friend / give up / idea	He persuaded his friend to give up the idea.
persuade_9	医者はなんとか患者を説得して、禁煙させた。	persuade	doctor / patient / quit / smoking	The doctor managed to persuade the patient to quit smoking.
warn_7	警察は市民にその地域を避けるよう警告した。	warn	police / citizens / avoid / area	The police warned citizens to avoid the area.
warn_8	医者は彼に無理をしないよう警告した。	warn	doctor / overwork	The doctor warned him not to overwork.
warn_9	父は私に見知らぬ人についていかないよう警告した。	warn	father / strangers	My father warned me not to follow strangers.
advise_1	医者は彼に十分な睡眠をとるよう助言した。	advise	doctor / get / enough sleep	The doctor advised him to get enough sleep.
advise_2	弁護士は彼女に何も言わないよう助言した。	advise	lawyer / say nothing	The lawyer advised her to say nothing.
advise_3	先生は生徒たちにもっと多くの本を読むよう助言した。	advise	teacher / students / read / more books	The teacher advised the students to read more books.
V to 人 that ～				
say_1	彼は彼女に、もうすぐ戻ると言った。	say	back / soon	He said to her that he would be back soon.
say_2	先生は生徒たちに、努力が大切だと言った。	say	teacher / students / effort / important	The teacher said to the students that effort was important.
say_3	彼女は私に、その知らせを聞いてとても驚いたと言った。	say	surprised / news	She said to me that she was very surprised to hear the news.
explain_1	彼は私に、なぜ遅れたのかを説明した。	explain	reason / late	He explained to me why he was late.
explain_2	先生は生徒たちに、その規則が必要な理由を説明した。	explain	teacher / students / rule / necessary	The teacher explained to the students why the rule was necessary.
explain_3	医者は患者に、手術がどのように行われるかを説明した。	explain	doctor / patient / operation / performed	The doctor explained to the patient how the operation would be performed.
suggest_1	彼はもう一度やり直してみてはどうかと提案した。	suggest	try again	He suggested that I try again.
suggest_2	医者は彼女がもっと休息をとるべきだと提案した。	suggest	doctor / rest / more	The doctor suggested that she should get more rest.
suggest_3	上司は私にその計画を見直してはどうかと提案した。	suggest	boss / reconsider / plan	My boss suggested that I reconsider the plan.
apologize to 人 for ～				
apologize_1	彼は彼女に遅刻したことを謝った。	apologize	being late	He apologized to her for being late.
apologize_2	彼女は上司に失礼な発言をしたことを謝罪した。	apologize	boss / rude remark	She apologized to her boss for her rude remark.
apologize_3	彼らは市民に迷惑をかけたことを公式に謝罪した。	apologize	citizens / inconvenience / officially	They officially apologized to the citizens for the inconvenience.
UNIT 2　rob型 / provide型				
V 人 of 物				
rob_1	彼は路上で財布を奪われた。	rob	wallet / street	He was robbed of his wallet on the street.
rob_2	その事故は彼から視力を奪った。	rob	accident / sight	The accident robbed him of his sight.
rob_3	長い入院生活が彼女から自信を奪った。	rob	long hospital stay / confidence	The long hospital stay robbed her of her confidence.
deprive_1	戦争は多くの子どもたちから教育の機会を奪った。	deprive	war / children / education	The war deprived many children of their education.
deprive_2	睡眠不足は人から判断力を奪う。	deprive	lack of sleep / judgment	Lack of sleep deprives people of their judgment.
deprive_3	その規制は市民から基本的権利を奪うものだと批判された。	deprive	regulation / citizens / basic rights	The regulation was criticized for depriving citizens of their basic rights.
cure_1	その薬は彼の病気を治した。	cure	medicine / disease	The medicine cured him of his disease.
cure_2	旅行が彼女の退屈を紛らわせた。	cure	trip / boredom	The trip cured her of her boredom.
cure_3	その経験は彼の怠け癖を直した。	cure	experience / lazy habit	The experience cured him of his lazy habit.
clear_1	彼は机の上を片付けた。	clear	desk / papers	He cleared his desk of the papers.
clear_2	彼女は排水溝の雪を取り除いた。	clear	drain / snow	She cleared the drain of snow.
clear_3	警察は道路から障害物を取り除いた。	clear	police / road / obstacles	The police cleared the road of obstacles.
relieve_1	その薬は彼の痛みを和らげた。	relieve	medicine / pain	The medicine relieved him of his pain.
relieve_2	彼女は彼の不安を和らげようとした。	relieve	anxiety	She tried to relieve him of his anxiety.
relieve_3	彼は重大な責任から解放された。	relieve	heavy responsibility	He was relieved of his heavy responsibility.
rid_1	私はその古い習慣を取り除きたい。	rid	old habit	I want to rid myself of that old habit.
rid_2	彼女はようやく借金を返済した。	rid	debt	She finally rid herself of her debt.
rid_3	その都市はネズミの問題を解決しようとしている。	rid	city / rat problem	The city is trying to rid itself of its rat problem.
V 人 with 物				
provide_1	政府は被災者に食料を提供した。	provide	government / victims / food	The government provided the victims with food.
provide_2	その奨学金は彼女に留学の機会を与えた。	provide	scholarship / opportunity / study abroad	The scholarship provided her with an opportunity to study abroad.
provide_3	その会社は従業員に最新の設備を提供した。	provide	company / employees / latest equipment	The company provided its employees with the latest equipment.
supply_1	その工場は近隣の家庭に電力を供給している。	supply	factory / nearby homes / electricity	The factory supplies nearby homes with electricity.
supply_2	政府は学校に教科書を供給した。	supply	government / schools / textbooks	The government supplied the schools with textbooks.
supply_3	その農場は市場に新鮮な野菜を供給している。	supply	farm / market / fresh vegetables	The farm supplies the market with fresh vegetables.
furnish_1	その会社は新入社員にラップトップを支給した。	furnish	company / new employees / laptops	The company furnished new employees with laptops.
furnish_2	家主はアパートに家具を備え付けた。	furnish	landlord / apartment / furniture	The landlord furnished the apartment with furniture.
furnish_3	彼女は弁護士に必要な書類を提供した。	furnish	lawyer / necessary documents	She furnished the lawyer with the necessary documents.
feed_1	その川は村に清潔な水を供給している。	feed	river / village / clean water	The river feeds the village with clean water.
feed_2	その発電所は何千もの家庭に電力を供給している。	feed	power plant / thousands of homes / electricity	The power plant feeds thousands of homes with electricity.
feed_3	そのパイプラインは都市にガスを供給している。	feed	pipeline / city / gas	The pipeline feeds the city with gas.
present_1	委員会は優勝者に賞を授与した。	present	committee / winner / prize	The committee presented the winner with a prize.
present_2	彼は彼女に花束を贈った。	present	bouquet of flowers	He presented her with a bouquet of flowers.
present_3	市長は消防士たちに勇気の証明書を授与した。	present	mayor / firefighters / certificate of bravery	The mayor presented the firefighters with a certificate of bravery.
equip_1	その学校はすべての教室にコンピューターを備え付けた。	equip	school / classrooms / computers	The school equipped all classrooms with computers.
equip_2	登山家たちは最新の道具を持って山に挑んだ。	equip	climbers / latest tools	The climbers were equipped with the latest tools.
equip_3	その訓練は兵士たちに実戦に必要なスキルを身につけさせた。	equip	training / soldiers / skills / combat	The training equipped the soldiers with the skills needed for combat.
endow_1	彼女は生まれつき音楽の才能に恵まれている。	endow	musical talent	She is endowed with musical talent.
endow_2	その地域は豊かな天然資源に恵まれている。	endow	region / rich natural resources	The region is endowed with rich natural resources.
endow_3	彼は生まれながらにリーダーシップの資質を持っている。	endow	leadership qualities	He is endowed with leadership qualities.
fill A with B				
fill_1	彼女はコップを水で満たした。	fill	glass / water	She filled the glass with water.
fill_2	その知らせは彼を希望で満たした。	fill	news / hope	The news filled him with hope.
fill_3	その部屋は笑い声で満ちていた。	fill	room / laughter	The room was filled with laughter.
face / confront A with B				
face_1	警察は容疑者に証拠を突きつけた。	face	police / suspect / evidence	The police faced the suspect with the evidence.
face_2	彼女は彼に冷酷な事実を突きつけた。	face	harsh facts	She faced him with the harsh facts.
face_3	裁判官は被告に目撃者の証言を突きつけた。	face	judge / defendant / witness testimony	The judge faced the defendant with the witness testimony.
confront_1	記者は大臣に矛盾した発言を突きつけた。	confront	reporter / minister / contradictory statements	The reporter confronted the minister with his contradictory statements.
confront_2	彼女は夫に不誠実な行動の証拠を突きつけた。	confront	husband / evidence / dishonest behavior	She confronted her husband with evidence of his dishonest behavior.
confront_3	上司は彼に業績不振のデータを突きつけた。	confront	boss / data / poor performance	The boss confronted him with data showing his poor performance.
UNIT 3　thank型 / persuade型 / prevent型				
V 人 for ～				
thank_1	彼女は助けてくれたことに対して私に感謝した。	thank	help	She thanked me for my help.
thank_2	私たちは温かいもてなしに対して彼らに感謝した。	thank	warm hospitality	We thanked them for their warm hospitality.
thank_3	彼は励ましてくれたことに対して先生に感謝した。	thank	teacher / encouragement	He thanked his teacher for her encouragement.
admire_1	みんなが彼の勇気を称えた。	admire	courage	Everyone admired him for his courage.
admire_2	彼女は忍耐力を称えられた。	admire	patience	She was admired for her patience.
admire_3	世界中の人々が彼女の業績を賞賛した。	admire	people around the world / achievements	People around the world admired her for her achievements.
praise_1	先生は彼の努力を褒めた。	praise	teacher / effort	The teacher praised him for his effort.
praise_2	批評家たちはその映画の独創性を高く評価した。	praise	critics / originality / film	The critics praised the film for its originality.
praise_3	彼女は正直な対応を褒められた。	praise	honest response	She was praised for her honest response.
blame_1	彼らは事故の責任を運転手のせいにした。	blame	driver / accident	They blamed the driver for the accident.
blame_2	彼女は失敗を自分のせいだと思っていた。	blame	failure	She blamed herself for the failure.
blame_3	彼らはプロジェクトの失敗をマネージャーのせいにした。	blame	manager / project's failure	They blamed the manager for the project's failure.
punish_1	彼は規則を破ったことで罰せられた。	punish	breaking the rules	He was punished for breaking the rules.
punish_2	親は子どもを嘘をついたことで罰した。	punish	parents / child / lying	The parents punished the child for lying.
punish_3	その国は汚職で有罪となった官僚を処罰した。	punish	country / officials / corruption	The country punished the officials for corruption.
fine_1	彼は駐車違反で罰金を科された。	fine	illegal parking	He was fined for illegal parking.
fine_2	その会社は環境規制に違反したとして罰金を科された。	fine	company / violating environmental regulations	The company was fined for violating environmental regulations.
fine_3	彼女はスピード違反で5万円の罰金を科された。	fine	speeding / 50,000 yen	She was fined 50,000 yen for speeding.
be grateful to 人 for ～				
grateful_1	私は助けてくれたことに対して彼女にとても感謝している。	be grateful	help	I am very grateful to her for her help.
grateful_2	彼はアドバイスをくれた先生にとても感謝していた。	be grateful	teacher / advice	He was very grateful to his teacher for the advice.
grateful_3	私たちはご支援いただいた皆様に心より感謝申し上げます。	be grateful	support	We are deeply grateful to everyone for their support.
criticize 人 for ～				
criticize_1	批評家たちはその政策の曖昧さを批判した。	criticize	critics / policy / vagueness	The critics criticized the policy for its vagueness.
criticize_2	彼は約束を守らなかったことで批判された。	criticize	breaking / promise	He was criticized for breaking his promise.
criticize_3	メディアは政府の対応の遅さを批判した。	criticize	media / government / slow response	The media criticized the government for its slow response.
V 人 into -ing				
persuade_into_1	彼女はなんとか彼に契約書に署名させた。	persuade	signing / contract	She persuaded him into signing the contract.
persuade_into_2	友人が私にボランティアプログラムに参加するよう説き伏せた。	persuade	friend / joining / volunteer program	My friend persuaded me into joining the volunteer program.
persuade_into_3	彼らはなんとか社長にその提案を受け入れさせた。	persuade	president / accepting / proposal	They persuaded the president into accepting the proposal.
talk_into_1	彼は彼女を説得して、その仕事を引き受けさせた。	talk	accept / job	He talked her into accepting the job.
talk_into_2	友人が私を説得して、パーティーに参加させた。	talk	friend / join / party	My friend talked me into joining the party.
talk_into_3	彼女は夫を説得して、新しい車を買わせた。	talk	husband / buying / new car	She talked her husband into buying a new car.
V 人 out of -ing				
persuade_out_1	彼女はなんとか彼にその危険な計画を試みることを諦めさせた。	persuade	attempting / dangerous plan	She persuaded him out of attempting the dangerous plan.
persuade_out_2	友人が私に仕事を辞めることを思いとどまらせた。	persuade	friend / quitting / job	My friend persuaded me out of quitting my job.
persuade_out_3	親は息子に大学を中退することを思いとどまらせた。	persuade	parents / son / dropping out / university	The parents persuaded their son out of dropping out of university.
talk_out_1	彼は彼女にその無謀な投資をやめさせた。	talk	reckless investment	He talked her out of the reckless investment.
talk_out_2	医者は患者に手術を断ることを思いとどまらせた。	talk	doctor / patient / refusing / operation	The doctor talked the patient out of refusing the operation.
talk_out_3	彼女はなんとか弟に家出を思いとどまらせた。	talk	younger brother / running away	She managed to talk her younger brother out of running away.
V 人 from -ing				
prevent_1	悪天候が私たちの外出を妨げた。	prevent	bad weather / going out	Bad weather prevented us from going out.
prevent_2	その柵は子どもたちが川に近づくのを防いだ。	prevent	fence / children / approaching / river	The fence prevented the children from approaching the river.
prevent_3	けがが彼の試合への出場を妨げた。	prevent	injury / playing / match	The injury prevented him from playing in the match.
keep_1	仕事の忙しさが彼女の旅行を妨げた。	keep	busy work / traveling	Busy work kept her from traveling.
keep_2	その騒音が私の勉強を妨げた。	keep	noise / studying	The noise kept me from studying.
keep_3	雪が私たちが時間通りに到着するのを妨げた。	keep	snow / arriving / time	The snow kept us from arriving on time.
stop_1	何があなたを試みることを妨げているのですか。	stop	trying	What is stopping you from trying?
stop_2	痛みが彼の眠りを妨げた。	stop	pain / sleeping	The pain stopped him from sleeping.
stop_3	その規制は企業が市場を独占するのを妨げる。	stop	regulation / companies / monopolizing / market	The regulation stops companies from monopolizing the market.
prohibit_1	法律はその地域での狩猟を人々に禁じている。	prohibit	law / people / hunting / area	The law prohibits people from hunting in the area.
prohibit_2	その規則は学生が携帯電話を使うことを禁じている。	prohibit	rule / students / using / phones	The rule prohibits students from using their phones.
prohibit_3	その条約は各国が核兵器を使用することを禁止している。	prohibit	treaty / countries / using / nuclear weapons	The treaty prohibits countries from using nuclear weapons.
ban_1	その国は企業が特定の化学物質を使用することを禁止した。	ban	country / companies / using / certain chemicals	The country banned companies from using certain chemicals.
ban_2	その施設は来館者が館内で喫煙することを禁止している。	ban	facility / visitors / smoking / premises	The facility bans visitors from smoking on its premises.
ban_3	選手はドーピング違反で試合への出場を禁じられた。	ban	athlete / competing / doping violation	The athlete was banned from competing for a doping violation.
discourage_1	高い税金は企業の投資意欲を削いでいる。	discourage	high taxes / companies / investing	High taxes discourage companies from investing.
discourage_2	その失敗は彼女が再挑戦する意欲を失わせた。	discourage	failure / trying again	The failure discouraged her from trying again.
discourage_3	親は子どもが危険なスポーツをしないよう諭した。	discourage	parents / child / dangerous sports	The parents discouraged their child from playing dangerous sports.
save_1	彼のアドバイスのおかげで私は大きなミスをせずに済んだ。	save	advice / making / serious mistake	His advice saved me from making a serious mistake.
save_2	シートベルトが彼女を重傷を負うことから救った。	save	seatbelt / being seriously injured	The seatbelt saved her from being seriously injured.
save_3	ワクチンは多くの人々が重い病気にかかるのを防いだ。	save	vaccine / many people / serious illness	The vaccine saved many people from serious illness.
UNIT 4　suggest型 / think型				
V that s should 原形／原形				
suggest_u4_1	彼は私たちに早めに出発することを提案した。	suggest	leave / early	He suggested that we leave early.
suggest_u4_2	医者は彼女がもっと休息を取るべきだと提案した。	suggest	doctor / get / more rest	The doctor suggested that she should get more rest.
suggest_u4_3	委員会はその計画を見直すよう提案した。	suggest	committee / reconsider / plan	The committee suggested that they reconsider the plan.
propose_1	彼は会議を来週に延期することを提案した。	propose	meeting / postponed / next week	He proposed that the meeting be postponed until next week.
propose_2	彼女は新しい制度を導入することを提案した。	propose	new system / introduced	She proposed that a new system be introduced.
propose_3	市長は公園を拡張することを提案した。	propose	mayor / park / expanded	The mayor proposed that the park be expanded.
recommend_1	専門家は定期的な運動をするよう勧めた。	recommend	expert / exercise / regularly	The expert recommended that we exercise regularly.
recommend_2	医者は彼にすぐに手術を受けるよう勧めた。	recommend	doctor / operation / immediately	The doctor recommended that he have an operation immediately.
recommend_3	委員会はその方針を改定するよう勧告した。	recommend	committee / policy / revised	The committee recommended that the policy be revised.
advocate_1	彼女は死刑制度を廃止すべきだと主張した。	advocate	death penalty / abolished	She advocated that the death penalty be abolished.
advocate_2	その団体は教育予算を増やすべきだと主張した。	advocate	organization / education budget / increased	The organization advocated that the education budget be increased.
advocate_3	専門家はより厳しい規制を設けるべきだと主張した。	advocate	expert / stricter regulations / introduced	The expert advocated that stricter regulations be introduced.
insist_1	彼はもう一度チャンスを与えるよう主張した。	insist	given / another chance	He insisted that he be given another chance.
insist_2	彼女は全員が規則に従うべきだと主張した。	insist	everyone / follow / rules	She insisted that everyone follow the rules.
insist_3	上司は報告書をすぐに提出するよう強く求めた。	insist	boss / report / submitted / immediately	The boss insisted that the report be submitted immediately.
request_1	彼女は会議を延期するよう求めた。	request	meeting / postponed	She requested that the meeting be postponed.
request_2	病院はすべての訪問者がマスクを着用するよう求めた。	request	hospital / visitors / wear / masks	The hospital requested that all visitors wear masks.
request_3	住民は道路の修理を求めた。	request	residents / road / repaired	The residents requested that the road be repaired.
require_1	その大学はすべての学生が論文を提出することを求めている。	require	university / students / submit / thesis	The university requires that all students submit a thesis.
require_2	その規則は社員が制服を着ることを義務付けている。	require	rule / employees / wear / uniform	The rule requires that employees wear a uniform.
require_3	法律はすべての車両が保険に加入することを求めている。	require	law / vehicles / insured	The law requires that all vehicles be insured.
demand_1	労働者たちは賃金の引き上げを要求した。	demand	workers / wages / raised	The workers demanded that their wages be raised.
demand_2	彼女は状況について説明するよう強く求めた。	demand	situation / explained	She demanded that the situation be explained.
demand_3	市民は汚職を調査するよう求めた。	demand	citizens / corruption / investigated	The citizens demanded that the corruption be investigated.
ask_u4_1	彼は私たちに静かにするよう頼んだ。	ask	quiet	He asked that we be quiet.
ask_u4_2	彼女は報告書を明日までに提出するよう頼んだ。	ask	report / submitted / tomorrow	She asked that the report be submitted by tomorrow.
ask_u4_3	生徒たちは試験を延期するよう頼んだ。	ask	students / exam / postponed	The students asked that the exam be postponed.
order_1	裁判官は被告を釈放するよう命じた。	order	judge / defendant / released	The judge ordered that the defendant be released.
order_2	司令官は部隊を撤退させるよう命令した。	order	commander / troops / withdraw	The commander ordered that the troops withdraw.
order_3	医者は彼に完全な安静を命じた。	order	doctor / complete rest	The doctor ordered that he have complete rest.
urge_u4_1	政府は市民にワクチンを接種するよう強く促した。	urge	government / citizens / vaccinated	The government urged that citizens be vaccinated.
urge_u4_2	専門家は直ちに対策を取るよう強く求めた。	urge	expert / measures / taken / immediately	The expert urged that measures be taken immediately.
urge_u4_3	彼女は会議を早急に開くよう強く求めた。	urge	meeting / held / soon	She urged that a meeting be held soon.
decide_1	委員会はその提案を採用することを決定した。	decide	committee / proposal / adopted	The committee decided that the proposal be adopted.
decide_2	彼らは新しいシステムを導入することを決めた。	decide	new system / introduced	They decided that a new system be introduced.
decide_3	取締役会は工場を閉鎖することを決定した。	decide	board / factory / closed	The board decided that the factory be closed.
V of 名詞／V that sv				
think_1	彼女はいつも他人のことを考えている。	think	others	She always thinks of others.
think_2	あなたはその計画についてどう思いますか。	think	plan	What do you think of the plan?
think_3	彼は自分が失敗するとは思っていなかった。	think	fail	He never thought that he would fail.
dream_1	彼女はいつか宇宙飛行士になることを夢見ている。	dream	becoming / astronaut	She dreams of becoming an astronaut.
dream_2	彼は海外で生活することを夢見ていた。	dream	living abroad	He dreamed of living abroad.
dream_3	私はそんなことをするとは夢にも思わなかった。	dream	doing such a thing	I never dreamed that I would do such a thing.
complain_1	彼は給料が低いと不満を言った。	complain	low salary	He complained of a low salary.
complain_2	彼女はずっと頭痛を訴えていた。	complain	headache	She had been complaining of a headache.
complain_3	彼は待ち時間が長すぎると不満を言った。	complain	waiting time / too long	He complained that the waiting time was too long.
be sure of ～				
sure_1	私は彼が正しいと確信している。	be sure	right	I am sure of his being right.
sure_2	彼女は自分の答えが正しいと確信していた。	be sure	answer / correct	She was sure of her answer being correct.
sure_3	私たちは成功を確信していた。	be sure	success	We were sure of our success.
be conscious of ～				
conscious_1	彼女は自分の外見をとても気にしている。	be conscious	appearance	She is very conscious of her appearance.
conscious_2	優れたリーダーは自分の言葉の影響力を意識している。	be conscious	impact / words	A good leader is conscious of the impact of their words.
conscious_3	彼は環境への影響を常に意識している。	be conscious	environmental impact	He is always conscious of the environmental impact.
be aware of ～				
aware_1	彼女はその問題の深刻さに気づいていた。	be aware	seriousness / problem	She was aware of the seriousness of the problem.
aware_2	あなたはその規則を知っていますか。	be aware	rule	Are you aware of the rule?
aware_3	私たちは自分たちの行動がもたらすリスクを認識していた。	be aware	risks / actions	We were aware of the risks of our actions.
be ignorant of ～				
ignorant_1	彼はその法律を知らなかった。	be ignorant	law	He was ignorant of the law.
ignorant_2	彼女は自分の権利を知らなかった。	be ignorant	rights	She was ignorant of her rights.
ignorant_3	多くの人がその問題の深刻さに気づいていなかった。	be ignorant	seriousness / problem	Many people were ignorant of the seriousness of the problem.
be proud of ～				
proud_1	彼女は息子の成績を誇りに思っている。	be proud	son's achievement	She is proud of her son's achievement.
proud_2	私たちは自分たちの伝統を誇りに思っている。	be proud	tradition	We are proud of our tradition.
proud_3	彼は自分の仕事に誇りを持っていた。	be proud	work	He was proud of his work.
be ashamed of ～				
ashamed_1	彼は自分の行動を恥ずかしく思った。	be ashamed	behavior	He was ashamed of his behavior.
ashamed_2	彼女は嘘をついたことを恥じていた。	be ashamed	lying	She was ashamed of lying.
ashamed_3	あなたはそのような発言を恥ずかしく思うべきだ。	be ashamed	such a remark	You should be ashamed of such a remark.
be afraid of ～				
afraid_1	彼女は暗闇を怖がっている。	be afraid	dark	She is afraid of the dark.
afraid_2	彼は失敗することを恐れていた。	be afraid	failing	He was afraid of failing.
afraid_3	多くの人が変化を恐れる。	be afraid	change	Many people are afraid of change.
be careful of ～				
careful_1	濡れた床に気をつけてください。	be careful	wet floor	Please be careful of the wet floor.
careful_2	見知らぬ人には気をつけなさい。	be careful	strangers	Be careful of strangers.
careful_3	個人情報には気をつけるべきだ。	be careful	personal information	You should be careful of your personal information.
UNIT 5　「言う」の識別 / 「貸す」「借りる」の識別				
tell A from B				
tell_from_1	彼はその二つの音の違いがわかった。	tell	two sounds	He could tell the two sounds from each other.
tell_from_2	この暗さでは本物と偽物の区別がつかない。	tell	real / fake / darkness	I can't tell the real one from the fake one in this darkness.
tell_from_3	双子の兄弟を見分けるのは難しい。	tell	twin brothers	It is difficult to tell the twin brothers from each other.
tell that ～（～だとわかる）				
tell_that_1	彼の表情を見れば彼が怒っていることがわかる。	tell	expression / angry	You can tell from his expression that he is angry.
tell_that_2	声を聞けば彼女が疲れていることがわかった。	tell	voice / tired	I could tell from her voice that she was tired.
tell_that_3	その報告書を読めば状況が深刻だとわかる。	tell	report / situation / serious	You can tell from the report that the situation is serious.
be said to 原形／It is said that ～				
said_1	彼は非常に裕福だと言われている。	say	very wealthy	He is said to be very wealthy.
said_2	その薬は副作用があると言われている。	say	medicine / side effects	The medicine is said to have side effects.
said_3	その遺跡は1000年以上前に建てられたと言われている。	say	ruins / built / more than 1000 years ago	It is said that the ruins were built more than 1,000 years ago.
speak ＋言語				
speak_1	彼女は3か国語を話す。	speak	three languages	She speaks three languages.
speak_2	あなたは英語を話せますか。	speak	English	Can you speak English?
speak_3	彼はビジネスの場でも流暢にフランス語を話す。	speak	French / fluently / business	He speaks French fluently even in business situations.
lend 人 物				
lend_1	彼女は私に傘を貸してくれた。	lend	umbrella	She lent me her umbrella.
lend_2	銀行は彼に事業のための資金を貸した。	lend	bank / money / business	The bank lent him money for his business.
lend_3	少しの間、ペンを貸してもらえますか。	lend	pen / moment	Could you lend me your pen for a moment?
owe 人 物				
owe_1	私はあなたに5000円借りています。	owe	5,000 yen	I owe you 5,000 yen.
owe_2	彼女は成功を両親のおかげだと思っている。	owe	success / parents	She owes her success to her parents.
