ID	和訳	構文	語彙パーツ	正解英文	ページ	タグ
L2-A2	私が聖書を読破するのに<strong>1年かかった</strong>。	It takes〈人〉〈時間〉to do	take / a year / read through the Bible	<strong>It took me a year to</strong> read through the Bible.	p.7	Lesson2|p.7|構文:It takes〈人〉〈時間〉to do
L2-A3	<strong>たまたま</strong>マイクは彼らと同じトピックについて書いた。	It happens that S+V	happen / the same topic	<strong>It happened that</strong> Mike wrote about the same topic that they did.	p.7	Lesson2|p.7|構文:It happens that S+V
L2-A4	あなたは大きな間違いを犯してしまった<strong>ようだね</strong>。	It seems that S+V	seem / make a big mistake	<strong>It seems that</strong> you have made a big mistake.	p.7	Lesson2|p.7|構文:It seems that S+V
L2-B5	私はほんの<strong>数秒で</strong>映画ファイルをダウンロードし終えた。	It takes〈人〉〈時間〉to do	take / a few seconds / download	<strong>It took me only a few seconds to</strong> download the movie file.	p.7	Lesson2|p.7|構文:It takes〈人〉〈時間〉to do
L2-B6	<strong>なぜ</strong>あなたは試験の準備をしなかったのですか。	疑問詞 + is it that ~（強調）	why / prepare for the exam	<strong>Why was it that</strong> you didn't prepare for the exam?	p.7	Lesson2|p.7|構文:疑問詞 + is it that ~（強調）
L2-C7	あの英語のクラスに入るのに私は<strong>5万円かかった</strong>。	It costs〈人〉〈金額〉to do	cost / 50,000 yen / enter	<strong>It cost me 50,000 yen to</strong> enter that English class.	p.7	Lesson2|p.7|構文:It costs〈人〉〈金額〉to do
L2-C8	最近、地球は暖かくなってきている<strong>ようだ</strong>。	It appears that S+V	appear / get warmer / these days	<strong>It appears that</strong> the earth is getting warmer these days.	p.7	Lesson2|p.7|構文:It appears that S+V
L2-C9	私が知りたかったのは<strong>彼の秘密</strong>だった。	It is A that ~（強調構文）	the secret of his success / want to know	<strong>It was the secret of his success that</strong> I wanted to know.	p.7	Lesson2|p.7|構文:It is A that ~（強調構文）
L2-D10	何よりも、私たちが知ることが大切なのは<strong>歴史</strong>だ。	It is A that ~（強調構文）	above all / history / important	Above all, <strong>it is history that</strong> is important for us to know.	p.7	Lesson2|p.7|構文:It is A that ~（強調構文）
L2-D11	大きな台風が近づいてきている<strong>らしい</strong>。	It seems that S+V	huge typhoon / approach	<strong>It seems that</strong> a huge typhoon is approaching.	p.7	Lesson2|p.7|構文:It seems that S+V
L3-A1	<strong>大雨のために</strong>ボブは外に出られなかった。	無生物主語 + keep O from doing	heavy rain / keep ... from / go out	The heavy rain <strong>kept</strong> Bob <strong>from going out</strong>.	p.9	Lesson3|p.9|構文:無生物主語 + keep O from doing
L3-A2	<strong>毛糸のおかげで</strong>私たちは冬の間暖かくしていられる。	無生物主語 + allow O to do	wool / allow / stay warm	Wool <strong>allows us to</strong> stay warm during winter.	p.9	Lesson3|p.9|構文:無生物主語 + allow O to do
L3-A3	<strong>この報告書に</strong>何が書いてあるか理解できるかい。	無生物主語 + tell〈人〉	report / tell us / understand what	Do you understand what this report <strong>tells us</strong>?	p.9	Lesson3|p.9|構文:無生物主語 + tell〈人〉
L3-B4	私はオリビアのこの写真を見るといつも<strong>彼女の美しい声を思い出す</strong>。	無生物主語 + remind A of B	photo / remind ... of / beautiful voice	This photo of Olivia <strong>reminds me of</strong> her beautiful voice.	p.9	Lesson3|p.9|構文:無生物主語 + remind A of B
L3-B5	彼が手伝ってくれれば、私はもっと早くその仕事を<strong>終えられるだろう</strong>。	無生物主語 + enable O to do	help / enable / finish the job sooner	His help <strong>will enable me to</strong> finish the job sooner.	p.9	Lesson3|p.9|構文:無生物主語 + enable O to do
L3-B6	<strong>インフルエンザのために</strong>私はピクニックに行けなかった。	無生物主語 + prevent O from doing	flu / prevent ... from / go to the picnic	The flu <strong>prevented me from</strong> going to the picnic.	p.9	Lesson3|p.9|構文:無生物主語 + prevent O from doing
L3-C7	<strong>彼の仕事のスケジュールのせいで</strong>彼は休みを取れなかった。	無生物主語 + prevent O from doing	business schedule / prevent ... from / take holidays	His business schedule <strong>prevented him from</strong> taking holidays.	p.9	Lesson3|p.9|構文:無生物主語 + prevent O from doing
L3-C8	<strong>テレビのニュースによると</strong>今年の春は暖かくなりそうだ。	無生物主語 + say	TV news / say / warmer spring	The TV news <strong>said that</strong> we will have a warmer spring this year.	p.9	Lesson3|p.9|構文:無生物主語 + say
L3-C9	映画のこの場面を見ると<strong>私たちが最初に会った時を思い出す</strong>。	無生物主語 + remind A of B	classroom scene / remind ... of / the first time we met	The classroom scene in this movie <strong>reminds me of</strong> the first time we met.	p.9	Lesson3|p.9|構文:無生物主語 + remind A of B
L3-D10	<strong>ノートパソコンのおかげで</strong>私たちはどこでも好きなところで仕事ができる。	無生物主語 + enable O to do	notebook computers / enable / wherever we like	Notebook computers <strong>enable us to</strong> work wherever we like.	p.9	Lesson3|p.9|構文:無生物主語 + enable O to do
L3-D11	彼の話し方を聞くと、私は<strong>息子の若かったころを思い出す</strong>。	無生物主語 + remind A of B	way of talking / remind ... of / my son	His way of talking <strong>reminds me of</strong> my son when he was young.	p.9	Lesson3|p.9|構文:無生物主語 + remind A of B
L4-A1	空港に着いたら<strong>私に電話してほしい</strong>んだ。	want O to do	want ... to / call me / get to the airport	I <strong>want you to</strong> call me when you get to the airport.	p.11	Lesson4|p.11|構文:want O to do
L4-A2	問題は誰もその仕事をやりたがらない<strong>ということだ</strong>。	The problem is that S+V	the problem is that / no one	<strong>The problem is that</strong> no one wants to do that job.	p.11	Lesson4|p.11|構文:The problem is that S+V
L4-A3	私は、<strong>誰が彼女にそのお金を送ってくれたのだろうか</strong>と思った。	I wonder + 疑問詞節	wonder / who / send her the money	I <strong>wondered who</strong> had sent her the money.	p.11	Lesson4|p.11|構文:I wonder + 疑問詞節
L4-B4	英語のキムラ先生が「<strong>全文暗記したか</strong>」と私たちに尋ねた。	ask O if 節	ask ... if / memorize / the whole passage	Our English teacher, Mr. Kimura, <strong>asked us if</strong> we had memorized the whole passage.	p.11	Lesson4|p.11|構文:ask O if 節
L4-B5	バスの運転手が「<strong>シートベルトを締めてください</strong>」と言った。	ask O to do	ask ... to / fasten our seat belts	The bus driver <strong>asked us to</strong> fasten our seat belts.	p.11	Lesson4|p.11|構文:ask O to do
L4-C6	私は自分の子どもたちを危険から<strong>守れるだろうか</strong>。	I wonder if 節	wonder if / protect ... from danger	<strong>I wonder if</strong> I can protect my children from danger.	p.11	Lesson4|p.11|構文:I wonder if 節
L4-C7	私はまだあなたに<strong>別れを告げたくない</strong>。もう少しいて下さい。	want to do	want to / say goodbye / stay longer	I <strong>don't want to</strong> say goodbye yet. Please stay a little longer.	p.11	Lesson4|p.11|構文:want to do
L4-C8	私はキャロルに<strong>パイの作り方</strong>をたずねた。	ask O + 疑問詞節	ask / how / make pies	I <strong>asked</strong> Carol <strong>how</strong> she makes pies.	p.11	Lesson4|p.11|構文:ask O + 疑問詞節
L4-C9	要はあなたが次の選挙に<strong>興味があるかどうか</strong>だ。	The point is whether ~	the point is whether / interested in / election	<strong>The point is whether</strong> you are interested in the next election.	p.11	Lesson4|p.11|構文:The point is whether ~
L4-D10	彼は医者に<strong>子どもを診に来てもらった</strong>。	get O to do	get ... to / the doctor / come and see	He <strong>got the doctor to</strong> come and see his child.	p.11	Lesson4|p.11|構文:get O to do
L4-D11	彼は自分の息子に<strong>コンサートに行くように勧めた</strong>。	encourage O to do	encourage ... to / go to the concert	He <strong>encouraged his son to</strong> go to the concert.	p.11	Lesson4|p.11|構文:encourage O to do
L5-A1	私は台所で<strong>私の猫がネズミを捕まえるのを見た</strong>。	知覚動詞 + O + do	see ... catch / a mouse / in the kitchen	I <strong>saw my cat catch</strong> a mouse in the kitchen.	p.13	Lesson5|p.13|構文:知覚動詞 + O + do
L5-A2	彼の冗談は<strong>生徒たちを大笑いさせた</strong>。	使役動詞 make + O + do	joke / make ... laugh / out loud	His joke <strong>made the students laugh</strong> out loud.	p.13	Lesson5|p.13|構文:使役動詞 make + O + do
L5-A3	私はすべてのレポートを<strong>この黄色いファイルにとじている</strong>。	keep + O + done	keep ... filed / yellow file	I <strong>keep my reports filed</strong> in this yellow file.	p.13	Lesson5|p.13|構文:keep + O + done
L5-B4	私は母に<strong>毎日4時間勉強させられている</strong>。	使役動詞 make + O + do	make ... study / four hours every day	My mother <strong>makes me study</strong> four hours every day.	p.13	Lesson5|p.13|構文:使役動詞 make + O + do
L5-B5	私はジョンに<strong>バイオリンを修理してもらう</strong>つもりだ。	have + O + done	have ... repaired / violin / by John	I will <strong>have my violin repaired</strong> by John.	p.13	Lesson5|p.13|構文:have + O + done
L5-B6	彼を見たとき、彼は<strong>ドアのところで友達と話していた</strong>。	知覚動詞 + O + doing	see ... talking / at the door	I <strong>saw him talking</strong> with his friend at the door.	p.13	Lesson5|p.13|構文:知覚動詞 + O + doing
L5-C7	生徒たちが体育館から退場する間、<strong>歌を歌い続けましょう</strong>。	keep + O + doing	keep ... playing / leave the gym	Let's <strong>keep the song playing</strong> while the students leave the gym.	p.13	Lesson5|p.13|構文:keep + O + doing
L5-C8	その犬は彼女が買い物をしている間、<strong>外で待たされていた</strong>。	S is made to do（使役受動）	be made to wait / outside / shopping	The dog <strong>was made to wait</strong> outside while she was shopping.	p.13	Lesson5|p.13|構文:S is made to do（使役受動）
L5-C9	彼らは<strong>犬が歌っているのを聞いて</strong>自分の耳が信じられなかった。	知覚動詞 + O + do	hear ... sing / can't believe their ears	They couldn't believe their ears when they <strong>heard the dog sing</strong> a song.	p.13	Lesson5|p.13|構文:知覚動詞 + O + do
L5-D10	私は<strong>プライドを傷つけられ</strong>、彼らを許すことができなかった。	have + O + done（被害）	have my pride hurt / forgive	I <strong>had my pride hurt</strong>, and I couldn't forgive them.	p.13	Lesson5|p.13|構文:have + O + done（被害）
L5-D11	彼は<strong>自分の名前が呼ばれたのを聞いた</strong>気がしたが、振り返っても誰もいなかった。	知覚動詞 + O + done	hear his name called / turn around	He thought he <strong>heard his name called</strong>, but when he turned around no one was there.	p.13	Lesson5|p.13|構文:知覚動詞 + O + done
R1-A1	来年は雨が多い<strong>と言われている</strong>。	It is said that S+V	be said / a lot of rain / next year	<strong>It is said that</strong> we are going to have a lot of rain next year.	p.14	Review1|p.14|構文:It is said that S+V
R1-A2	その給仕人が私たちの食事を持ってくるのに<strong>長い時間がかかった</strong>。	It takes〈人〉〈時間〉to do	take ... a long time / bring us our meals	<strong>It took the waitperson a long time to</strong> bring us our meals.	p.14	Review1|p.14|構文:It takes〈人〉〈時間〉to do
R1-A3	<strong>朝のニュースによると</strong>、市長選挙の投票率は28%だったそうだ。	無生物主語 + say	morning news / say / voter turnout	The morning news <strong>said that</strong> voter turnout in the mayoral election was 28%.	p.14	Review1|p.14|構文:無生物主語 + say
R1-A4	その新婦を見て、私は<strong>妻の若い頃を思い出した</strong>。	無生物主語 + remind A of B	bride / remind ... of / my wife	That bride <strong>reminded me of</strong> my wife when she was young.	p.14	Review1|p.14|構文:無生物主語 + remind A of B
R1-A5	<strong>実は</strong>、最近インターネット・サービスのプロバイダーが増えている。	The fact is that S+V	the fact is that / Internet service providers	<strong>The fact is that</strong> there are more Internet service providers lately.	p.14	Review1|p.14|構文:The fact is that S+V
R1-B6	歯磨き中に<strong>水を出しっぱなしにしてはいけない</strong>。	keep + O + doing	keep the water running / brush your teeth	Don't <strong>keep the water running</strong> while you are brushing your teeth.	p.14	Review1|p.14|構文:keep + O + doing
R1-B7	ルーシーは<strong>自分の米と野菜を宅配サービスで届けてもらった</strong>。	have + O + done	have ... delivered / home-delivery service	Lucy <strong>had her rice and vegetables delivered</strong> by a home-delivery service.	p.14	Review1|p.14|構文:have + O + done
R1-B8	<strong>なぜ</strong>彼らはその不正が<strong>起こるのを防げなかった</strong>のだろうかと私は考えている。	wonder + 疑問詞節 / keep O from doing	wonder why / keep ... from occurring / fraud	<strong>I wonder why</strong> they couldn't <strong>keep the fraud from</strong> occurring.	p.14	Review1|p.14|構文:wonder + 疑問詞節 / keep O from doing
R1-C9	私はあなたに<strong>すぐに家に帰ってきてほしい</strong>。	want O to do	want ... to / come back home / at once	I <strong>want you to</strong> come back home at once.	p.14	Review1|p.14|構文:want O to do
R1-C10	<strong>このプレイヤーがあれば</strong>私たちは何千もの曲を持ち運びできる。	無生物主語 + allow O to do	player / allow / thousands of songs	This player <strong>allows us to</strong> carry thousands of songs with us.	p.14	Review1|p.14|構文:無生物主語 + allow O to do
R1-D11	私はあまりに長い間、間違った男を追いかけてきた<strong>ようだ</strong>。	It seems that S+V	seem / chase / the wrong man	<strong>It seems that</strong> I have been chasing the wrong man for a very long time.	p.15	Review1|p.15|構文:It seems that S+V
R1-D12	全てのスタッフが同じソフトを使うこと<strong>をお勧めします</strong>。	It is ... that S+V	be recommended / all the staff / same software	<strong>It is recommended that</strong> all the staff use the same software.	p.15	Review1|p.15|構文:It is ... that S+V
R1-D13	<strong>雷雨のため</strong>私たちは1時間以上インターネットを使うことができなかった。	無生物主語 + prevent O from doing	thunderstorm / prevent ... from / for more than an hour	The thunderstorm <strong>prevented us from</strong> using the Internet for more than an hour.	p.15	Review1|p.15|構文:無生物主語 + prevent O from doing
R1-D14	たとえ私の暮らしが貧しくなっても、地球上のすべての人に<strong>幸せでいてほしい</strong>。	want O to do	want ... to be happy / even though / get poor	I <strong>want every person on earth to be</strong> happy even though I might get poor.	p.15	Review1|p.15|構文:want O to do
R1-D15	時には自分が<strong>愛し大切にするもののために闘わ</strong>ねばならないが、時にはそれを<strong>手放す強さを見つけ</strong>ねばならない。	what 節 / let it go	fight for what / find the strength / let it go	Sometimes we have to <strong>fight for what</strong> we love and care about, but sometimes we have to <strong>find the strength to let it go</strong>.	p.15	Review1|p.15|構文:what 節 / let it go
L6-A1	私たちは<strong>あの</strong>悲惨な戦争を忘れないだろう。	指示の that（あの〜）	forget / that terrible war	We will not forget <strong>that</strong> terrible war.	p.17	Lesson6|p.17|構文:指示の that（あの〜）
L6-A2	私の辞書の大きさは普通の弁当箱の<strong>それ</strong>と同じぐらいだ。	that of ...	the size of / like that of / lunch box	The size of my dictionary is like <strong>that of</strong> an ordinary lunch box.	p.17	Lesson6|p.17|構文:that of ...
L6-A3	スポーツ観戦が好きな<strong>人たちもいれば、そうでない人たちもいる</strong>。	some ... others ~	some people / others / watch sports	<strong>Some</strong> people like to watch sports, but <strong>others</strong> don't.	p.17	Lesson6|p.17|構文:some ... others ~
L6-B4	ジャマイカでは何語が<strong>話されている</strong>か知っていますか。	they（一般人称）	they speak / what language / Jamaica	Do you know what language <strong>they speak</strong> in Jamaica?	p.17	Lesson6|p.17|構文:they（一般人称）
L6-B5	夫と妻は<strong>違う考えを持っている</strong>。	those of ...	the ideas of / different from those of	The ideas of the husband are different from <strong>those of</strong> the wife.	p.17	Lesson6|p.17|構文:those of ...
L6-B6	ガレージに<strong>赤い車</strong>と<strong>黄色い車</strong>がある。	one ... the other ~	one is red / the other is yellow	There are two cars in the garage. <strong>One</strong> is red, and <strong>the other</strong> is yellow.	p.17	Lesson6|p.17|構文:one ... the other ~
L6-C7	この試合に勝った<strong>者のみ</strong>が次のステージに行くことができる。	those who ~	only those who win / next stage	<strong>Only those who</strong> win this game can go to the next stage.	p.17	Lesson6|p.17|構文:those who ~
L6-C8	オーストラリアの景色は私の母国の<strong>それ</strong>とは異なる。	that of ...	landscape / unlike that of / home country	The landscape of Australia is unlike <strong>that of</strong> my home country.	p.17	Lesson6|p.17|構文:that of ...
L6-C9	ここに5つの斧があります。<strong>1つは金で、他のは鉄の斧</strong>です。	one ... the others ~	five axes / one is a gold ax / the others are iron	Here are five axes. <strong>One</strong> is a gold ax and <strong>the others</strong> are iron.	p.17	Lesson6|p.17|構文:one ... the others ~
L6-D10	コンピュータのデザインは50年前の<strong>それ</strong>ととても違う。	that of ...	the designs of / different from that of / 50 years ago	The designs of computers are very different from <strong>that of</strong> 50 years ago.	p.17	Lesson6|p.17|構文:that of ...
L6-D11	パスを持っていなければこのエリアには<strong>入れない</strong>。	you（一般人称）	you can't enter / if you don't have a pass	<strong>You</strong> can't enter this area if <strong>you</strong> don't have a pass.	p.17	Lesson6|p.17|構文:you（一般人称）
L7-A1	祖母は<strong>よく私を映画に連れて行ってくれたものだ</strong>。	used to do	used to take / to the movies	My grandmother <strong>used to take</strong> me to the movies.	p.19	Lesson7|p.19|構文:used to do
L7-A2	私はエアコンを消し<strong>忘れたかもしれない</strong>。	助動詞 + have done（may have done）	may have forgotten / turn off / air-conditioner	I <strong>may have forgotten</strong> to turn off the air-conditioner.	p.19	Lesson7|p.19|構文:助動詞 + have done（may have done）
L7-A3	彼は自分の妻にそのことを<strong>言うべきだった</strong>。	should have done	should have said / to his wife	He <strong>should have said</strong> that to his wife.	p.19	Lesson7|p.19|構文:should have done
L7-B4	彼がそんなに大金を<strong>持っていたはずがない</strong>。	can't have done	can't have had / that much money	He <strong>can't have had</strong> that much money.	p.19	Lesson7|p.19|構文:can't have done
L7-B5	角に小さな書店が<strong>あったが、もうない</strong>。	used to be	used to be / a small book store / at the corner	There <strong>used to be</strong> a small book store at the corner.	p.19	Lesson7|p.19|構文:used to be
L7-C6	母は寝る前に<strong>よく私に話を読んでくれた</strong>。	would often do	would often read / before going to bed	My mother <strong>would often read</strong> me stories before going to bed.	p.19	Lesson7|p.19|構文:would often do
L7-C7	そのカップは捨てようと思っていたから、<strong>洗わなくてよかったのに</strong>。	needn't have done	needn't have washed / throw it away	You <strong>needn't have washed</strong> the cup, because I was going to throw it away.	p.19	Lesson7|p.19|構文:needn't have done
L7-C8	猫がテーブルの上の魚を<strong>食べたに違いない</strong>。	must have done	must have eaten / the fish on the table	The cat <strong>must have eaten</strong> the fish on the table.	p.19	Lesson7|p.19|構文:must have done
L7-C9	<strong>間違えたかもしれない</strong>が、それはそのときできる最善だった。	may have done	may have been wrong / the best I could do	I <strong>may have been</strong> wrong, but that was the best I could do at that time.	p.19	Lesson7|p.19|構文:may have done
L7-D10	<strong>以前</strong>私は田舎に住み野菜を育てていた。	used to do	used to live / in the countryside / grow vegetables	I <strong>used to live</strong> in the countryside and grow vegetables.	p.19	Lesson7|p.19|構文:used to do
L7-D11	私は鍵を失くしてしまった。どこかで<strong>落としたに違いない</strong>。	must have done	must have lost / somewhere	I've lost my key. I <strong>must have lost</strong> it somewhere.	p.19	Lesson7|p.19|構文:must have done
L8-A1	彼はだらだらするのをやめて仕事に取りかかった<strong>方がよい</strong>。	had better do	had better stop / being lazy / get to work	He <strong>had better</strong> stop being lazy and get to work.	p.21	Lesson8|p.21|構文:had better do
L8-A2	生徒たちがその悲しい知らせを聞いてショックを受けているのも<strong>当然だ</strong>。	may well do	may well be shocked / hear the sad news	The students <strong>may well be</strong> shocked to hear the sad news.	p.21	Lesson8|p.21|構文:may well do
L8-A3	それは大して重要ではない。<strong>忘れてもかまわない</strong>。	might as well do	might as well forget / about it	It's not very important. We <strong>might as well forget</strong> about it.	p.21	Lesson8|p.21|構文:might as well do
L8-B4	彼らがその問題に腹を立てるのも<strong>当然だ</strong>。	may well do	may well be angry / with the problem	They <strong>may well be</strong> angry with the problem.	p.21	Lesson8|p.21|構文:may well do
L8-B5	あなたは今<strong>決断すべきだと思う</strong>。	It would be better for A to do	it would be better for / make a decision	<strong>It would be better for you to</strong> make a decision now.	p.21	Lesson8|p.21|構文:It would be better for A to do
L8-B6	今は実際には雨が降っていないので、駅まで<strong>歩こうと思う</strong>。	may as well do	may as well walk / to the station	It's not actually raining now, so I <strong>may as well walk</strong> to the station.	p.21	Lesson8|p.21|構文:may as well do
L8-C7	あなたは自分のしたことを<strong>認めた方がいいでしょう</strong>。	It would be better for A to do	it would be better for / admit what you did	<strong>It would be better for you to</strong> admit what you did.	p.21	Lesson8|p.21|構文:It would be better for A to do
L8-C8	あなたは娘の発表に<strong>遅れない方がよい</strong>。	had better not do	had better not be late / presentation	You <strong>had better not be</strong> late for your daughter's presentation.	p.21	Lesson8|p.21|構文:had better not do
L8-C9	もうこれ以上することがなければ、私たちは<strong>寝てもいいでしょう</strong>。	may as well do	nothing more to do / may as well go to bed	If there's nothing more to do, we <strong>may as well go</strong> to bed.	p.21	Lesson8|p.21|構文:may as well do
L8-D10	誰もあなたがみじめか気にしていないんだから、<strong>ハッピーになる方がましよ</strong>。	might as well do	nobody cares / miserable / might as well be happy	Nobody really cares if you're miserable, so you <strong>might as well be</strong> happy.	p.21	Lesson8|p.21|構文:might as well do
L8-D11	私たちは彼らを探し始める前に、<strong>もう少し長く待った方がよい</strong>。	had better do	had better wait / a little longer / start searching	We <strong>had better wait</strong> a little longer, before we start searching for them.	p.21	Lesson8|p.21|構文:had better do
L9-A1	私たちは皆あなたが帰ってきて<strong>うれしい</strong>。くつろいで下さい。	be glad to do	be glad to have you back / feel at home	We are all <strong>glad to have</strong> you back, and we hope you feel at home.	p.23	Lesson9|p.23|構文:be glad to do
L9-A2	自分の犬を健康に保つ<strong>ためには</strong>、1日2回散歩させなければならない。	in order to do	in order to keep ... healthy / twice a day	<strong>In order to keep</strong> your dog healthy, you must walk her twice a day.	p.23	Lesson9|p.23|構文:in order to do
L9-A3	ウォール街への<strong>行き方</strong>を教えてもらえませんか。	how to do	how to get to / Wall Street	Could you tell me <strong>how to get to</strong> Wall Street?	p.23	Lesson9|p.23|構文:how to do
L9-B4	年上の人に<strong>どう話すべきか</strong>知っていますか。	how to do	how to talk to / the elder	Do you know <strong>how to talk to</strong> the elder?	p.23	Lesson9|p.23|構文:how to do
L9-B5	彼は車を<strong>買うために</strong>アルバイトをしている。	in order to do	work part-time / in order to buy a car	He is working part-time <strong>in order to buy</strong> a car.	p.23	Lesson9|p.23|構文:in order to do
L9-B6	よいウェブサイトはたくさんありすぎて<strong>見つけるのが難しい</strong>。	be hard to do	good websites / hard to find / too many	Good websites are <strong>hard to find</strong> because there are too many of them.	p.23	Lesson9|p.23|構文:be hard to do
L9-C7	私は鍵を<strong>失くさないように</strong>自分の鍵にキーホルダーをつけた。	in order not to do	key holder / in order not to lose it	I attached a key holder to my key <strong>in order not to lose</strong> it.	p.23	Lesson9|p.23|構文:in order not to do
L9-C8	彼はそこでは新米だったので、<strong>何をすべきか、いつそれをすべきか</strong>分からなかった。	what to do / when to do	new there / what to do / when to do	Since he was new there, he didn't know <strong>what to do</strong> or <strong>when to do</strong> it.	p.23	Lesson9|p.23|構文:what to do / when to do
L9-C9	私たちは喜んであなたが最適な車を見つけるのを<strong>手伝います</strong>。	be happy to do	be happy to help / find the best car	We are <strong>happy to help</strong> you find the best car for you.	p.23	Lesson9|p.23|構文:be happy to do
L9-D10	そのDVDを<strong>買うかどうか</strong>決めたい。	whether to do (or not)	decide whether to buy / or not	I want to decide <strong>whether to buy</strong> that DVD or not.	p.23	Lesson9|p.23|構文:whether to do (or not)
L9-D11	<strong>子どもが</strong>幸せな人生を<strong>生きるためには</strong>、家でのいい教育が必要だ。	in order for A to do	in order for a child to live / good education	<strong>In order for a child to live</strong> a happy life, good education at home is necessary.	p.23	Lesson9|p.23|構文:in order for A to do
L10-A1	その女性はたくさんの宝石を身につけ、とても<strong>裕福な様子だった</strong>。	appear to do	wear a lot of jewelry / appear to be rich	The woman was wearing a lot of jewelry and she <strong>appeared to be</strong> very rich.	p.25	Lesson10|p.25|構文:appear to do
L10-A2	<strong>言うまでもないが</strong>、誰も完璧ではない。	needless to say（独立不定詞）	needless to say / no one is perfect	<strong>Needless to say</strong>, no one is perfect.	p.25	Lesson10|p.25|構文:needless to say（独立不定詞）
L10-A3	次の列車は3時間後に<strong>到着する予定だ</strong>。	be to do（予定）	be to arrive / in three hours	The next train <strong>is to arrive</strong> in three hours.	p.25	Lesson10|p.25|構文:be to do（予定）
L10-B4	三カ国がそれぞれの未来について<strong>話し合う予定だ</strong>。	be to do（予定）	be to talk about / their future	Three countries <strong>are to talk about</strong> their future.	p.25	Lesson10|p.25|構文:be to do（予定）
L10-B5	コーチになるにはもっと訓練が<strong>必要なようだ</strong>。	seem to do	seem to need / more training / be a coach	You <strong>seem to need</strong> more training to be a coach.	p.25	Lesson10|p.25|構文:seem to do
L10-B6	マイクはドアの鍵をかけるのを<strong>忘れたようだ</strong>。	seem to have done	seem to have forgotten / lock the door	Mike <strong>seems to have forgotten</strong> to lock the door.	p.25	Lesson10|p.25|構文:seem to have done
L10-C7	私の車のガソリンが切れ、<strong>さらに悪いことに</strong>、私の電話のバッテリーも切れた。	to make matters worse（独立不定詞）	run out of gas / to make matters worse / battery	My car ran out of gas, and <strong>to make matters worse</strong>, the battery of my phone also ran out.	p.25	Lesson10|p.25|構文:to make matters worse（独立不定詞）
L10-C8	彼らは北海道をもっと早く<strong>出発する予定だった</strong>が、大雪のために不可能になった。	be to do（過去の予定）	be to leave / earlier / heavy snow	They <strong>were to leave</strong> Hokkaido earlier but couldn't because of the heavy snow.	p.25	Lesson10|p.25|構文:be to do（過去の予定）
L10-C9	昨夜空を見上げたとき、私たちは<strong>たまたま</strong>2つの流れ星を<strong>見た</strong>。	happen to do	happen to see / two shooting stars	Last night when we looked up at the sky, we <strong>happened to see</strong> two shooting stars.	p.25	Lesson10|p.25|構文:happen to do
