ID	日本語文	指定動詞	パーツ	正答	タグ
contact_3	彼女は直接顧客に連絡を取った。	contact	customer / directly	She contacted the customer directly.	実はSVO|v:contact|文型:SVO
deserve_1	彼は賞を受けるに値する。	deserve	prize	He deserves the prize.	実はSVO|v:deserve|文型:SVO
deserve_2	彼女はもっと良い扱いを受けるに値する。	deserve	better treatment	She deserves better treatment.	実はSVO|v:deserve|文型:SVO
deserve_3	この問題はもっと注目されるべきだ。	deserve	attention	This issue deserves more attention.	実はSVO|v:deserve|文型:SVO
discuss_1	私たちはその問題について議論した。	discuss	problem	We discussed the problem.	実はSVO|v:discuss|文型:SVO
discuss_2	彼らは新しい計画について議論した。	discuss	new plan	They discussed the new plan.	実はSVO|v:discuss|文型:SVO
discuss_3	その件は後で議論しよう。	discuss	matter / later	Let's discuss the matter later.	実はSVO|v:discuss|文型:SVO
enter_1	彼女は部屋に入った。	enter	room	She entered the room.	実はSVO|v:enter|文型:SVO
enter_2	彼は有名な大学に入学した。	enter	famous university	He entered a famous university.	実はSVO|v:enter|文型:SVO
enter_3	新しいデータをシステムに入力してください。	enter	data / system	Please enter the data into the system.	実はSVO|v:enter|文型:SVO
follow_1	彼女は父のあとを継いで医者になった。	follow	father	She followed her father as a doctor.	実はSVO|v:follow|文型:SVO
follow_2	私の言うことに従ってください。	follow	instructions	Please follow my instructions.	実はSVO|v:follow|文型:SVO
follow_3	何が起こったか話の流れが追えない。	follow	story	I can't follow the story.	実はSVO|v:follow|文型:SVO
join_1	彼はサッカークラブに入った。	join	soccer club	He joined the soccer club.	実はSVO|v:join|文型:SVO
join_2	彼女は私たちの会話に加わった。	join	conversation	She joined our conversation.	実はSVO|v:join|文型:SVO
join_3	夕食にご一緒しませんか。	join	dinner	Would you like to join us for dinner?	実はSVO|v:join|文型:SVO
leave_1	私は朝7時に家を出た。	leave	home / 7 a.m.	I left home at 7 a.m.	実はSVO|v:leave|文型:SVO
leave_2	彼女は若くして故郷を離れた。	leave	hometown / young	She left her hometown young.	実はSVO|v:leave|文型:SVO
leave_3	その電車は5分後に出発する。	leave	train / five minutes	The train leaves in five minutes.	実はSVO|v:leave|文型:SVO
marry_1	彼は高校時代の恋人と結婚した。	marry	high school sweetheart	He married his high school sweetheart.	実はSVO|v:marry|文型:SVO
marry_2	彼らは去年結婚した。	marry	last year	They got married last year.	実はSVO|v:marry|文型:SVO
marry_3	彼女は医者と結婚している。	marry	doctor	She is married to a doctor.	実はSVO|v:marry|文型:SVO
mention_1	彼女はその事件について何も言及しなかった。	mention	incident	She didn't mention the incident.	実はSVO|v:mention|文型:SVO
mention_2	彼はその名前を一度も口にしなかった。	mention	name	He never mentioned the name.	実はSVO|v:mention|文型:SVO
mention_3	言ってくれてもよかったのに。	mention	it	You could have mentioned it.	実はSVO|v:mention|文型:SVO
obey_1	子どもは親に従うべきだ。	obey	children / parents	Children should obey their parents.	実はSVO|v:obey|文型:SVO
obey_2	兵士たちは命令に従った。	obey	soldiers / order	The soldiers obeyed the order.	実はSVO|v:obey|文型:SVO
obey_3	すべての市民は法律に従わなければならない。	obey	citizens / law	All citizens must obey the law.	実はSVO|v:obey|文型:SVO
reach_1	私たちはようやく駅に着いた。	reach	station	We finally reached the station.	実はSVO|v:reach|文型:SVO
reach_2	彼は目標を達成した。	reach	goal	He reached his goal.	実はSVO|v:reach|文型:SVO
reach_3	彼らは合意に達した。	reach	agreement	They reached an agreement.	実はSVO|v:reach|文型:SVO
resemble_1	彼は父親に似ている。	resemble	father	He resembles his father.	実はSVO|v:resemble|文型:SVO
resemble_2	この絵はあの有名な作品に似ている。	resemble	famous painting	This painting resembles that famous painting.	実はSVO|v:resemble|文型:SVO
resemble_3	二つの事件は互いに似ている。	resemble	each other / two cases	The two cases resemble each other.	実はSVO|v:resemble|文型:SVO
survive_1	彼女は夫より10年長生きした。	survive	husband / 10 years	She survived her husband by 10 years.	実はSVO|v:survive|文型:SVO
survive_2	乗客のうち数人だけが生き残った。	survive	passengers / only a few	Only a few passengers survived the crash.	実はSVO|v:survive|文型:SVO
survive_3	その会社は不況を乗り越えた。	survive	company / recession	The company survived the recession.	実はSVO|v:survive|文型:SVO
visit_1	私たちは去年京都を訪れた。	visit	Kyoto / last year	We visited Kyoto last year.	実はSVO|v:visit|文型:SVO
visit_2	多くの観光客がその寺を訪れる。	visit	tourists / temple	Many tourists visit the temple.	実はSVO|v:visit|文型:SVO
visit_3	医者が患者を往診した。	visit	doctor / patient	The doctor visited the patient.	実はSVO|v:visit|文型:SVO
appear_1	彼は疲れているようだ。	appear	tired	He appears tired.	SVC|v:appear|文型:SVC
appear_2	その計画は成功しそうだ。	appear	plan / successful	The plan appears successful.	SVC|v:appear|文型:SVC
appear_3	問題はないように見える。	appear	problem	There appears to be no problem.	SVC|v:appear|文型:SVC
become_1	彼女は有名な歌手になった。	become	famous singer	She became a famous singer.	SVC|v:become|文型:SVC
become_2	その夢は現実になった。	become	dream / reality	The dream became a reality.	SVC|v:become|文型:SVC
become_3	状況はさらに悪くなった。	become	situation / worse	The situation became worse.	SVC|v:become|文型:SVC
come_1	彼女の夢はついに実現した。	come	dream / true	Her dream came true.	SVC|v:come|文型:SVC
come_2	すべてがうまくいくだろう。	come	right	Everything will come right.	SVC|v:come|文型:SVC
come_3	そのロープがほどけた。	come	rope / loose	The rope came loose.	SVC|v:come|文型:SVC
fall_1	彼は恋に落ちた。	fall	love	He fell in love.	SVC|v:fall|文型:SVC
fall_2	彼女は眠りに落ちた。	fall	asleep	She fell asleep.	SVC|v:fall|文型:SVC
fall_3	彼らは沈黙した。	fall	silent	They fell silent.	SVC|v:fall|文型:SVC
feel_1	彼女は気分が悪そうだ。	feel	sick	She feels sick.	SVC|v:feel|文型:SVC
feel_2	この布は柔らかい。	feel	cloth / soft	This cloth feels soft.	SVC|v:feel|文型:SVC
feel_3	私は自分が無力に感じた。	feel	helpless	I felt helpless.	SVC|v:feel|文型:SVC
get_1	日が暮れて暗くなった。	get	dark	It got dark.	SVC|v:get|文型:SVC
get_2	彼は次第に良くなってきた。	get	better / gradually	He gradually got better.	SVC|v:get|文型:SVC
get_3	準備はできた？	get	ready	Are you ready? / Did you get ready?	SVC|v:get|文型:SVC
go_1	計画は失敗に終わった。	go	plan / wrong	The plan went wrong.	SVC|v:go|文型:SVC
go_2	食べ物が腐った。	go	food / bad	The food went bad.	SVC|v:go|文型:SVC
go_3	彼女は電話が鳴ると顔が青ざめた。	go	pale / phone	She went pale when the phone rang.	SVC|v:go|文型:SVC
grow_1	彼女は年を取るにつれ美しくなった。	grow	beautiful / older	She grew more beautiful as she got older.	SVC|v:grow|文型:SVC
grow_2	彼は待つのにうんざりしてきた。	grow	tired / waiting	He grew tired of waiting.	SVC|v:grow|文型:SVC
grow_3	空が暗くなってきた。	grow	sky / dark	The sky grew dark.	SVC|v:grow|文型:SVC
look_1	彼女は若く見える。	look	young	She looks young.	SVC|v:look|文型:SVC
look_2	その料理はおいしそうだ。	look	dish / delicious	The dish looks delicious.	SVC|v:look|文型:SVC
look_3	彼は自信ありげだ。	look	confident	He looks confident.	SVC|v:look|文型:SVC
prove_1	その噂は本当だと分かった。	prove	rumor / true	The rumor proved true.	SVC|v:prove|文型:SVC
prove_2	彼の方法は効果的だと分かった。	prove	method / effective	His method proved effective.	SVC|v:prove|文型:SVC
prove_3	その薬は有害だと判明した。	prove	medicine / harmful	The medicine proved harmful.	SVC|v:prove|文型:SVC
remain_1	彼は黙ったままだった。	remain	silent	He remained silent.	SVC|v:remain|文型:SVC
remain_2	問題は未解決のままだ。	remain	problem / unsolved	The problem remains unsolved.	SVC|v:remain|文型:SVC
remain_3	彼女は座ったままだった。	remain	seated	She remained seated.	SVC|v:remain|文型:SVC
seem_1	彼女は幸せそうだ。	seem	happy	She seems happy.	SVC|v:seem|文型:SVC
seem_2	その話は本当のようだ。	seem	story / true	The story seems true.	SVC|v:seem|文型:SVC
seem_3	すべてがうまくいっているようだ。	seem	everything / fine	Everything seems fine.	SVC|v:seem|文型:SVC
smell_1	このバラはいい香りがする。	smell	rose / nice	This rose smells nice.	SVC|v:smell|文型:SVC
smell_2	何か焦げ臭い。	smell	something / burning	Something smells burning.	SVC|v:smell|文型:SVC
smell_3	この部屋はカビ臭い。	smell	room / musty	This room smells musty.	SVC|v:smell|文型:SVC
sound_1	それはいい考えに聞こえる。	sound	good idea	That sounds like a good idea.	SVC|v:sound|文型:SVC
sound_2	彼女の声は悲しそうだった。	sound	voice / sad	Her voice sounded sad.	SVC|v:sound|文型:SVC
sound_3	その話は信じがたい。	sound	story / unbelievable	The story sounds unbelievable.	SVC|v:sound|文型:SVC
stay_1	天気は一週間ずっと晴れだった。	stay	weather / sunny / week	The weather stayed sunny for a week.	SVC|v:stay|文型:SVC
stay_2	彼は若いままでいたい。	stay	young	He wants to stay young.	SVC|v:stay|文型:SVC
stay_3	落ち着いて。	stay	calm	Stay calm.	SVC|v:stay|文型:SVC
taste_1	このスープはおいしい。	taste	soup / good	This soup tastes good.	SVC|v:taste|文型:SVC
taste_2	この薬は苦い。	taste	medicine / bitter	This medicine tastes bitter.	SVC|v:taste|文型:SVC
taste_3	このワインはフルーティーな味がする。	taste	wine / fruity	This wine tastes fruity.	SVC|v:taste|文型:SVC
turn_1	彼の顔は赤くなった。	turn	face / red	His face turned red.	SVC|v:turn|文型:SVC
turn_2	葉が黄色に変わった。	turn	leaves / yellow	The leaves turned yellow.	SVC|v:turn|文型:SVC
turn_3	牛乳が腐った。	turn	milk / sour	The milk turned sour.	SVC|v:turn|文型:SVC
ask_1	彼女は私に名前を尋ねた。	ask	name	She asked me my name.	SVOO|v:ask|文型:SVOO
ask_2	彼は私に意見を求めた。	ask	opinion	He asked me my opinion.	SVOO|v:ask|文型:SVOO
ask_3	彼女は私に質問をした。	ask	question	She asked me a question.	SVOO|v:ask|文型:SVOO
award_1	彼女は最優秀賞を授与された。	award	top prize	She was awarded the top prize.	SVOO|v:award|文型:SVOO
award_2	委員会は彼に奨学金を授与した。	award	committee / scholarship	The committee awarded him a scholarship.	SVOO|v:award|文型:SVOO
award_3	その映画は彼に賞をもたらした。	award	film / prize	The film awarded him a prize.	SVOO|v:award|文型:SVOO
buy_1	彼女は私にセーターを買ってくれた。	buy	sweater	She bought me a sweater.	SVOO|v:buy|文型:SVOO
buy_2	母は子どもたちにおもちゃを買った。	buy	mother / children / toys	My mother bought the children toys.	SVOO|v:buy|文型:SVOO
buy_3	彼は自分に新しい車を買った。	buy	new car / himself	He bought himself a new car.	SVOO|v:buy|文型:SVOO
cook_1	彼女は私たちに夕食を作ってくれた。	cook	dinner	She cooked us dinner.	SVOO|v:cook|文型:SVOO
cook_2	母はいつも朝食を作ってくれる。	cook	mother / breakfast	My mother always cooks me breakfast.	SVOO|v:cook|文型:SVOO
cook_3	彼は妻に特別な料理を作った。	cook	wife / special dish	He cooked his wife a special dish.	SVOO|v:cook|文型:SVOO
cost_1	その事故で彼は命を失った。	cost	accident / life	The accident cost him his life.	SVOO|v:cost|文型:SVOO
cost_2	そのミスは彼女に職を失わせた。	cost	mistake / job	The mistake cost her her job.	SVOO|v:cost|文型:SVOO
cost_3	その車は私に200万円かかった。	cost	car / two million yen	The car cost me two million yen.	SVOO|v:cost|文型:SVOO
do_1	運動は健康に良い。	do	exercise / good / health	Exercise does you good.	SVOO|v:do|文型:SVOO
do_2	少し休めば楽になるよ。	do	rest / good	A little rest will do you good.	SVOO|v:do|文型:SVOO
do_3	それは彼に害を与えた。	do	harm	It did him harm.	SVOO|v:do|文型:SVOO
get_4	彼女は私に飲み物を取ってきてくれた。	get	drink	She got me a drink.	SVOO|v:get|文型:SVOO
get_5	タクシーを呼んでくれませんか。	get	taxi	Could you get me a taxi?	SVOO|v:get|文型:SVOO
get_6	少し時間をください。	get	some time	Get me some time.	SVOO|v:get|文型:SVOO
give_1	彼は私にプレゼントをくれた。	give	present	He gave me a present.	SVOO|v:give|文型:SVOO
give_2	その経験は私に自信を与えた。	give	experience / confidence	The experience gave me confidence.	SVOO|v:give|文型:SVOO
give_3	彼女にもう一度チャンスを与えよう。	give	another chance	Let's give her another chance.	SVOO|v:give|文型:SVOO
make_1	彼女は私にケーキを作ってくれた。	make	cake	She made me a cake.	SVOO|v:make|文型:SVOO
make_2	彼は彼女にドレスを作った。	make	dress	He made her a dress.	SVOO|v:make|文型:SVOO
make_3	コーヒーを入れましょうか。	make	coffee	Shall I make you coffee?	SVOO|v:make|文型:SVOO
offer_1	彼は私に助けを申し出た。	offer	help	He offered me help.	SVOO|v:offer|文型:SVOO
offer_2	会社は彼女にそのポストを提示した。	offer	company / position	The company offered her the position.	SVOO|v:offer|文型:SVOO
offer_3	彼女は私にコーヒーを勧めてくれた。	offer	coffee	She offered me coffee.	SVOO|v:offer|文型:SVOO
spare_1	5分だけ時間をいただけますか。	spare	five minutes	Can you spare me five minutes?	SVOO|v:spare|文型:SVOO
spare_2	詳細は省略させてください。	spare	details	Spare me the details.	SVOO|v:spare|文型:SVOO
spare_3	彼女は私に手間をかけさせなかった。	spare	trouble	She spared me the trouble.	SVOO|v:spare|文型:SVOO
take_1	その旅行は私に3日かかった。	take	trip / three days	The trip took me three days.	SVOO|v:take|文型:SVOO
take_2	駅まで10分かかる。	take	station / 10 minutes	It takes 10 minutes to get to the station.	SVOO|v:take|文型:SVOO
take_3	その仕事は彼に丸一日かかった。	take	job / whole day	The job took him a whole day.	SVOO|v:take|文型:SVOO
teach_1	彼は私たちに英語を教えている。	teach	English	He teaches us English.	SVOO|v:teach|文型:SVOO
teach_2	経験が私に忍耐を教えた。	teach	experience / patience	Experience taught me patience.	SVOO|v:teach|文型:SVOO
teach_3	失敗が彼に謙虚さを教えた。	teach	failure / humility	Failure taught him humility.	SVOO|v:teach|文型:SVOO
catch_1	警察は彼が盗んでいるところを捕まえた。	catch	police / steal	The police caught him stealing.	SVO_do|v:catch|文型:SVOC
catch_2	私は彼女が嘘をついているところを見つけた。	catch	lie	I caught her lying.	SVO_do|v:catch|文型:SVOC
catch_3	彼は息子がゲームをしているところを見つけた。	catch	son / play / game	He caught his son playing a game.	SVO_do|v:catch|文型:SVOC
consider_4	私は彼女を賢いと思う。	consider	smart	I consider her smart.	SVO_do|v:consider|文型:SVOC
consider_5	彼らはその問題を重要だと考えた。	consider	problem / important	They considered the problem important.	SVO_do|v:consider|文型:SVOC
consider_6	彼女はそれを侮辱だとみなした。	consider	insult	She considered it an insult.	SVO_do|v:consider|文型:SVOC
feel_4	私は地面が揺れるのを感じた。	feel	ground / shake	I felt the ground shake.	SVO_do|v:feel|文型:SVOC
feel_5	彼女は何かが腕に触れるのを感じた。	feel	something / touch / arm	She felt something touch her arm.	SVO_do|v:feel|文型:SVOC
feel_6	彼は心臓がドキドキするのを感じた。	feel	heart / beat	He felt his heart beating.	SVO_do|v:feel|文型:SVOC
find_1	私は彼の説明が分かりにくいと感じた。	find	explanation / confusing	I found his explanation confusing.	SVO_do|v:find|文型:SVOC
find_2	彼女はその本が面白いと思った。	find	book / interesting	She found the book interesting.	SVO_do|v:find|文型:SVOC
find_3	私たちはドアが開いているのに気づいた。	find	door / open	We found the door open.	SVO_do|v:find|文型:SVOC
get_7	私は彼に部屋を掃除させた。	get	room / clean	I got him to clean the room.	SVO_do|v:get|文型:SVOC
get_8	彼女は車を修理してもらった。	get	car / repaired	She got her car repaired.	SVO_do|v:get|文型:SVOC
get_9	彼はようやく機械を動かした。	get	machine / work	He finally got the machine to work.	SVO_do|v:get|文型:SVOC
have_1	私は髪を切ってもらった。	have	hair / cut	I had my hair cut.	SVO_do|v:have|文型:SVOC
have_2	彼女は息子に部屋を掃除させた。	have	son / room / clean	She had her son clean the room.	SVO_do|v:have|文型:SVOC
have_3	財布を盗まれた。	have	wallet / stolen	I had my wallet stolen.	SVO_do|v:have|文型:SVOC
hear_1	私は誰かがドアをノックするのを聞いた。	hear	someone / knock / door	I heard someone knock on the door.	SVO_do|v:hear|文型:SVOC
hear_2	彼女は隣の部屋で誰かが話しているのを聞いた。	hear	someone / talk / next room	She heard someone talking in the next room.	SVO_do|v:hear|文型:SVOC
hear_3	彼は自分の名前が呼ばれるのを聞いた。	hear	name / called	He heard his name called.	SVO_do|v:hear|文型:SVOC
keep_4	ドアを開けたままにしておいて。	keep	door / open	Keep the door open.	SVO_do|v:keep|文型:SVOC
keep_5	彼は私を待たせた。	keep	wait	He kept me waiting.	SVO_do|v:keep|文型:SVOC
keep_6	彼女はエンジンをかけたままにした。	keep	engine / running	She kept the engine running.	SVO_do|v:keep|文型:SVOC
leave_4	彼は窓を開けたままにした。	leave	window / open	He left the window open.	SVO_do|v:leave|文型:SVOC
leave_5	仕事を途中のままにしないで。	leave	work / unfinished	Don't leave your work unfinished.	SVO_do|v:leave|文型:SVOC
leave_6	彼女は水を出しっぱなしにした。	leave	water / running	She left the water running.	SVO_do|v:leave|文型:SVOC
let_1	彼は私に車を使わせてくれた。	let	car / use	He let me use his car.	SVO_do|v:let|文型:SVOC
let_2	彼女は猫を外に出した。	let	cat / out	She let the cat out.	SVO_do|v:let|文型:SVOC
let_3	そのことは忘れてください。	let	it / go	Let it go.	SVO_do|v:let|文型:SVOC
make_4	彼女は私を笑わせた。	make	laugh	She made me laugh.	SVO_do|v:make|文型:SVOC
make_5	その映画は私を泣かせた。	make	movie / cry	The movie made me cry.	SVO_do|v:make|文型:SVOC
make_6	彼は自分の意見を理解させた。	make	opinion / understood	He made his opinion understood.	SVO_do|v:make|文型:SVOC
see_1	私は彼女が部屋に入るのを見た。	see	enter / room	I saw her enter the room.	SVO_do|v:see|文型:SVOC
see_2	彼は彼女が泣いているのを見た。	see	cry	He saw her crying.	SVO_do|v:see|文型:SVOC
see_3	私は車が修理されているのを見た。	see	car / repaired	I saw the car being repaired.	SVO_do|v:see|文型:SVOC
smell_4	私は何か焦げる臭いがした。	smell	something / burn	I smelled something burning.	SVO_do|v:smell|文型:SVOC
smell_5	彼女はガスが漏れている臭いがした。	smell	gas / leak	She smelled gas leaking.	SVO_do|v:smell|文型:SVOC
smell_6	彼はコーヒーの香りがするのに気づいた。	smell	coffee / brew	He smelled coffee brewing.	SVO_do|v:smell|文型:SVOC
ask_4	彼は私に手伝ってくれるよう頼んだ。	ask	help	He asked me to help him.	SVO_to_do|v:ask|文型:SVO+to_do|前置詞:to
ask_5	彼女は私にドアを閉めるよう頼んだ。	ask	close / door	She asked me to close the door.	SVO_to_do|v:ask|文型:SVO+to_do|前置詞:to
ask_6	彼は上司に休暇をもらえるよう頼んだ。	ask	boss / day off	He asked his boss to give him a day off.	SVO_to_do|v:ask|文型:SVO+to_do|前置詞:to
cause_1	何がその事故を引き起こしたのか。	cause	accident	What caused the accident to happen?	SVO_to_do|v:cause|文型:SVO+to_do|前置詞:to
cause_2	大雨が電車を遅らせた。	cause	heavy rain / train / delay	The heavy rain caused the train to be delayed.	SVO_to_do|v:cause|文型:SVO+to_do|前置詞:to
cause_3	ストレスは人を病気にする。	cause	stress / sick	Stress causes people to get sick.	SVO_to_do|v:cause|文型:SVO+to_do|前置詞:to
compel_1	証拠が彼に真実を認めさせた。	compel	evidence / admit / truth	The evidence compelled him to admit the truth.	SVO_to_do|v:compel|文型:SVO+to_do|前置詞:to
compel_2	彼女は辞職に追い込まれた。	compel	resign	She was compelled to resign.	SVO_to_do|v:compel|文型:SVO+to_do|前置詞:to
compel_3	好奇心が彼女にその箱を開けさせた。	compel	curiosity / open / box	Curiosity compelled her to open the box.	SVO_to_do|v:compel|文型:SVO+to_do|前置詞:to
determine_1	その経験が彼に医者になることを決心させた。	determine	experience / doctor	The experience determined him to become a doctor.	SVO_to_do|v:determine|文型:SVO+to_do|前置詞:to
determine_2	彼女は成功することを固く決意している。	determine	succeed	She is determined to succeed.	SVO_to_do|v:determine|文型:SVO+to_do|前置詞:to
determine_3	彼は困難に負けないと決意した。	determine	difficulty / give up	He determined not to give up despite the difficulty.	SVO_to_do|v:determine|文型:SVO+to_do|前置詞:to
enable_1	インターネットは私たちが情報にアクセスすることを可能にした。	enable	access / information	The Internet enabled us to access information.	SVO_to_do|v:enable|文型:SVO+to_do|前置詞:to
enable_2	この技術は医者がより正確に診断することを可能にする。	enable	technology / doctors / diagnose	This technology enables doctors to diagnose more accurately.	SVO_to_do|v:enable|文型:SVO+to_do|前置詞:to
enable_3	その奨学金が彼女の留学を可能にした。	enable	scholarship / study abroad	The scholarship enabled her to study abroad.	SVO_to_do|v:enable|文型:SVO+to_do|前置詞:to
encourage_1	先生は私たちに一生懸命勉強するよう励ました。	encourage	study hard	The teacher encouraged us to study hard.	SVO_to_do|v:encourage|文型:SVO+to_do|前置詞:to
encourage_2	彼女は彼に夢を追い続けるよう励ました。	encourage	follow / dream	She encouraged him to follow his dream.	SVO_to_do|v:encourage|文型:SVO+to_do|前置詞:to
encourage_3	その成功が彼をもっと努力する気にさせた。	encourage	success / try harder	The success encouraged him to try harder.	SVO_to_do|v:encourage|文型:SVO+to_do|前置詞:to
expect_1	私は彼女が成功すると期待している。	expect	succeed	I expect her to succeed.	SVO_to_do|v:expect|文型:SVO+to_do|前置詞:to
expect_2	彼らは私が全てを知っていると思っていた。	expect	know / everything	They expected me to know everything.	SVO_to_do|v:expect|文型:SVO+to_do|前置詞:to
expect_3	その電車は3時に到着する予定だ。	expect	train / arrive	The train is expected to arrive at 3\.	SVO_to_do|v:expect|文型:SVO+to_do|前置詞:to
force_1	彼女は私に残業するよう強制した。	force	work overtime	She forced me to work overtime.	SVO_to_do|v:force|文型:SVO+to_do|前置詞:to
force_2	台風で私たちは家にいることを余儀なくされた。	force	typhoon / stay home	The typhoon forced us to stay home.	SVO_to_do|v:force|文型:SVO+to_do|前置詞:to
force_3	彼は自分の意見を変えることを強いられた。	force	change / opinion	He was forced to change his opinion.	SVO_to_do|v:force|文型:SVO+to_do|前置詞:to
oblige_1	状況が彼女に決断を迫った。	oblige	situation / decide	The situation obliged her to decide.	SVO_to_do|v:oblige|文型:SVO+to_do|前置詞:to
oblige_2	私は出席することを義務付けられている。	oblige	attend	I am obliged to attend.	SVO_to_do|v:oblige|文型:SVO+to_do|前置詞:to
oblige_3	手伝っていただけるとありがたいのですが。	oblige	help	I would be obliged if you could help.	SVO_to_do|v:oblige|文型:SVO+to_do|前置詞:to
